Timestep,C7,LANK,LASI,LBiceps,LClavicle,LD1M,LElbow,LForearm,LHEE,LKNE,LLCA,LMElbow,LMT5,LPSI,LSH1,LSH2,LSH3,LSTL,LShoulder,LTH1,LTH2,LTH3,LTHI,LTIB,LTOE,LWrist,RANK,RASI,RBiceps,RD1M,RElbow,RForearm,RHEE,RKNE,RLCA,RMElbow,RMT5,RPSI,RSH1,RSH2,RSTL,RShoulder,RTH1,RTH2,RTH3,RTHI,RTIB,RTOE,RWrist
All Timesteps RMSE,0.0150894,0.0230569,0.0206084,0.0126121,0.0142706,0.0145772,0.0205871,0.0113026,0.0238399,0.0140913,0.0179485,0.0264326,0.0225377,0.0187197,0.0104764,0.0108646,0.0121979,0.0195121,0.00962899,0.0157633,0.0123773,0.0122635,0.0154222,0.0103771,0.0142196,0.0184708,0.0309392,0.0172989,0.00941167,0.0127573,0.0419333,0.00850563,0.019063,0.0134028,0.0168059,0.0266125,0.0194268,0.0172388,0.0116777,0.0125539,0.0161134,0.0168913,0.0115199,0.0133264,0.0121103,0.0143442,0.00955166,0.0143034,0.0108824
0,0.018521,0.019096,0.0146282,0.0244178,0.0247051,0.0171435,0.017706,0.0296059,0.0379773,0.0273677,0.0243631,0.0429711,0.0271091,0.0343016,0.021478,0.0185664,0.0222933,0.0255977,0.0245143,0.0286398,0.0191977,0.0177541,0.0296351,0.0182463,0.015129,0.0184902,0.0409726,0.0171555,0.0170736,0.0487765,0.0388761,0.0148796,0.055171,0.0148925,0.0299657,0.040249,0.0500785,0.031292,0.0404961,0.0350583,0.0342274,0.0256043,0.0150255,0.0133755,0.0154546,0.0149913,0.0320004,0.0432188,0.0178502
1,0.0181889,0.0183837,0.0143554,0.0242343,0.024285,0.0171529,0.0170569,0.0293241,0.0379628,0.0272425,0.0240029,0.0426848,0.0276921,0.0340107,0.0211351,0.0185347,0.0222027,0.0249552,0.0240288,0.0282962,0.0188765,0.0175075,0.029286,0.0179909,0.0150649,0.0181438,0.0400408,0.0169921,0.016555,0.0478129,0.0391346,0.0144701,0.0542534,0.0148539,0.0290301,0.0396651,0.0493008,0.0310236,0.0396502,0.0342351,0.0332957,0.0251395,0.0147013,0.013083,0.01506,0.0148292,0.0311944,0.0424023,0.0170883
2,0.0179423,0.0177426,0.0141604,0.0241218,0.0239645,0.017232,0.0164774,0.02912,0.037967,0.0271547,0.0236901,0.0424586,0.0282352,0.0337699,0.0208364,0.0185312,0.0221417,0.0243803,0.0236566,0.0279967,0.0186042,0.0173107,0.0289816,0.0177748,0.0150684,0.0178856,0.0391496,0.0168774,0.0160998,0.0468778,0.0393511,0.0141241,0.0533798,0.0148695,0.0281424,0.0391389,0.048551,0.030806,0.0388424,0.0334616,0.032403,0.0247911,0.0144125,0.0128425,0.0147155,0.014699,0.0304285,0.0416081,0.016411
3,0.0178811,0.0171962,0.0141429,0.0241551,0.0238669,0.0173726,0.0160369,0.0290807,0.0379866,0.0271589,0.0234339,0.0423562,0.0287151,0.0336415,0.0206219,0.0185988,0.0221448,0.0238827,0.0235435,0.027803,0.0184389,0.0172303,0.0287797,0.0176469,0.0151336,0.0178167,0.0383302,0.01686,0.0157701,0.0459925,0.0394568,0.0138832,0.0525897,0.0149683,0.0273366,0.0387344,0.0478387,0.0307005,0.0380999,0.0327795,0.0315816,0.0247076,0.0141878,0.0127098,0.0144688,0.0146299,0.0297342,0.0408458,0.0158837
4,0.0178326,0.0167021,0.0141367,0.0241979,0.0237864,0.0175549,0.015614,0.029054,0.0380153,0.0271628,0.023208,0.0422645,0.0291592,0.0335211,0.020424,0.018668,0.0221547,0.023438,0.0234484,0.0276126,0.0182862,0.0171571,0.0285853,0.0175281,0.0152326,0.0177662,0.0375301,0.0168488,0.015455,0.0451203,0.0395582,0.0136586,0.0518164,0.0150891,0.0265554,0.0383448,0.0471436,0.0306023,0.0373762,0.03212,0.0307771,0.0246449,0.0139791,0.0125906,0.014239,0.0145713,0.0290601,0.0400951,0.0153834
5,0.0176625,0.016227,0.0140104,0.0241478,0.02356,0.0177686,0.0151144,0.0289234,0.0380497,0.0270935,0.0229929,0.0420976,0.029592,0.033327,0.0201905,0.0186819,0.0221262,0.0230289,0.0231802,0.0273433,0.0180701,0.017004,0.0283219,0.0173547,0.01535,0.0176007,0.036709,0.0167768,0.0150692,0.0442333,0.0397431,0.0133904,0.0510075,0.0151879,0.0257556,0.0378857,0.046451,0.03043,0.0366349,0.0314285,0.0299477,0.0244077,0.0137466,0.012411,0.013963,0.0144823,0.0283657,0.0393429,0.0148217
6,0.0173771,0.0157706,0.0137672,0.0240107,0.0231911,0.0180097,0.0145423,0.028693,0.0380887,0.0269526,0.0227871,0.0418595,0.0300127,0.0330624,0.0199231,0.018641,0.0220597,0.0226552,0.0227423,0.0269956,0.0177914,0.0167719,0.027991,0.0171284,0.0154829,0.0173244,0.0358687,0.0166503,0.0146188,0.0433328,0.0400115,0.0130894,0.050165,0.0152678,0.0249398,0.0373589,0.0457623,0.0301861,0.0358777,0.0307053,0.0290955,0.0239997,0.0134906,0.0121727,0.0136415,0.0143641,0.0276517,0.0385904,0.0142093
7,0.017119,0.0153638,0.0135465,0.0238955,0.0228534,0.0182738,0.0139985,0.0284871,0.0381307,0.0268166,0.0226044,0.0416414,0.0303928,0.0328147,0.0196773,0.0186043,0.0220018,0.0223302,0.0223379,0.0266574,0.0175304,0.016553,0.0276739,0.016917,0.0156305,0.017078,0.035053,0.0165407,0.0141949,0.0424492,0.04027,0.01282,0.0493439,0.0153719,0.0241551,0.036854,0.0450923,0.0299577,0.0351441,0.0300088,0.0282657,0.0236267,0.013252,0.0119537,0.0133419,0.0142579,0.0269613,0.0378521,0.0136412
8,0.0170452,0.0150414,0.0135108,0.0239199,0.0227463,0.0185504,0.0135917,0.0284454,0.0381726,0.0267764,0.0224599,0.0415441,0.0306971,0.0326834,0.0195182,0.0186414,0.022007,0.0220677,0.0222055,0.0264322,0.0173836,0.0164558,0.0274652,0.0168001,0.0157859,0.0170224,0.0343116,0.0165199,0.0138917,0.0416177,0.0404036,0.012634,0.0486087,0.0155435,0.0234534,0.0364746,0.0444558,0.0298435,0.0344793,0.0294063,0.027509,0.0235301,0.0130786,0.0118433,0.0131421,0.0142121,0.0263446,0.0371428,0.0132088
9,0.0169932,0.0147613,0.0134966,0.0239594,0.0226672,0.0188327,0.0132081,0.0284228,0.0382122,0.0267407,0.0223317,0.0414623,0.0309586,0.0325671,0.0193797,0.0186822,0.0220195,0.0218467,0.022106,0.0262169,0.0172553,0.0163713,0.0272698,0.0166987,0.0159385,0.0169927,0.0335935,0.0165087,0.0136083,0.0408023,0.0405238,0.0124646,0.0478947,0.015731,0.0227804,0.0361159,0.0438358,0.0297428,0.0338373,0.0288292,0.0267735,0.0234666,0.0129215,0.0117498,0.0129629,0.0141773,0.0257509,0.0364458,0.0128077
10,0.0168282,0.0144895,0.0133649,0.0239132,0.0224461,0.0191184,0.0127543,0.0283006,0.0382484,0.0266326,0.022203,0.04131,0.0312075,0.0323807,0.0192067,0.0186663,0.0219916,0.0216511,0.0218355,0.0259233,0.0170636,0.0162066,0.0270072,0.0165454,0.016085,0.0168517,0.0328569,0.0164468,0.0132634,0.0399737,0.0407279,0.0122689,0.0471469,0.015896,0.0220931,0.0356892,0.0432204,0.0295719,0.0331796,0.0282196,0.0260167,0.0232299,0.0127383,0.0115967,0.0127372,0.0141108,0.0251378,0.0357485,0.0123634
11,0.0165552,0.0142237,0.0131173,0.023786,0.0220841,0.0194051,0.0122353,0.0280821,0.0382811,0.0264517,0.0220726,0.0410896,0.0314453,0.0321266,0.0189997,0.0185939,0.0219227,0.0214785,0.0213939,0.025551,0.0168083,0.0159611,0.0266782,0.0163407,0.0162248,0.0166024,0.0321024,0.0163404,0.0128623,0.0391328,0.0410165,0.0120586,0.0463658,0.0160403,0.021393,0.0351954,0.0426108,0.0293326,0.0325067,0.0275775,0.0252406,0.0228206,0.012529,0.0113849,0.0124658,0.0140129,0.0245061,0.0350521,0.0118891
12,0.0163092,0.0139923,0.0128924,0.0236778,0.0217523,0.0196856,0.0117449,0.0278859,0.0383077,0.0262762,0.0219532,0.0408872,0.0316429,0.0318892,0.0188131,0.0185245,0.0218586,0.0213388,0.020986,0.0251895,0.0165715,0.0157279,0.0263641,0.0161524,0.0163541,0.016381,0.0313728,0.0162497,0.0124875,0.038309,0.0412919,0.0118761,0.045607,0.0162003,0.0207246,0.0347234,0.042019,0.0291094,0.0318567,0.0269614,0.0244882,0.022445,0.0123347,0.0111908,0.0122149,0.0139254,0.0238984,0.0343695,0.0114606
13,0.0162355,0.0138265,0.0128506,0.0236966,0.021647,0.0199512,0.0113788,0.0278445,0.0383253,0.0261968,0.02186,0.0407966,0.0317655,0.0317647,0.0187097,0.0185288,0.021854,0.0212436,0.020851,0.0249441,0.0164495,0.0156168,0.0261601,0.0160592,0.0164664,0.0163419,0.030717,0.0162326,0.012219,0.0375357,0.0414355,0.0117438,0.0449341,0.0164104,0.0201365,0.0343743,0.0414565,0.0289957,0.0312728,0.0264379,0.0238075,0.0223457,0.0122031,0.0111008,0.0120603,0.0138948,0.0233633,0.0337131,0.0111357
14,0.016183,0.0136887,0.0128308,0.0237281,0.0215703,0.0202035,0.0110337,0.0278215,0.0383335,0.0261232,0.0217748,0.0407196,0.0318492,0.0316555,0.0186251,0.0185367,0.0218539,0.021175,0.0207497,0.0247116,0.0163463,0.0155183,0.0259718,0.0159822,0.016564,0.0163262,0.0300854,0.0162234,0.0119684,0.0367788,0.0415631,0.0116224,0.0442828,0.0166287,0.0195777,0.0340457,0.0409099,0.0288951,0.0307093,0.0259392,0.0231494,0.0222804,0.0120855,0.0110259,0.0119248,0.0138722,0.0228513,0.0330687,0.0108382
15,0.0160265,0.0135474,0.0126963,0.023681,0.0213551,0.0204465,0.010628,0.027704,0.0383329,0.0259784,0.0216836,0.0405763,0.0319262,0.0314789,0.0185049,0.0184883,0.021811,0.0211179,0.0204784,0.0244027,0.0161799,0.015339,0.0257189,0.0158539,0.0166513,0.0162037,0.0294365,0.0161734,0.0116676,0.0360099,0.0417746,0.0114936,0.0435993,0.016824,0.0190091,0.0336508,0.0403696,0.0287286,0.0301301,0.0254089,0.0224733,0.0220431,0.01194,0.0108927,0.0117436,0.0138171,0.0223203,0.0324269,0.0105227
16,0.0157716,0.0134019,0.0124488,0.0235599,0.0210026,0.0206795,0.0101688,0.0274941,0.0383223,0.0257626,0.0215863,0.0403697,0.0319991,0.0312364,0.0183487,0.018384,0.0217252,0.0210691,0.0200374,0.0240177,0.0159506,0.0150792,0.0254021,0.0156743,0.0167293,0.0159783,0.028771,0.0160894,0.0113239,0.0352297,0.0420711,0.0113696,0.0428841,0.0169988,0.0184336,0.0331915,0.039837,0.0284981,0.0295356,0.0248477,0.0217815,0.0216342,0.0117663,0.0107031,0.0115179,0.0137302,0.0217716,0.0317888,0.0102055
17,0.0155437,0.0132794,0.0122244,0.0234564,0.0206807,0.0208974,0.00973878,0.0273049,0.0382992,0.0255541,0.0214957,0.0401795,0.0320381,0.0310105,0.0182093,0.018284,0.021643,0.0210376,0.0196299,0.0236471,0.0157399,0.0148325,0.0251025,0.0155108,0.0167941,0.0157801,0.0281307,0.0160198,0.0110068,0.0344667,0.0423518,0.0112675,0.0421919,0.0171824,0.0178913,0.0327541,0.0393213,0.0282836,0.0289619,0.0243119,0.0211138,0.021261,0.0116055,0.0105295,0.0113116,0.0136517,0.0212467,0.0311653,0.00993331
18,0.0154748,0.0132112,0.0121812,0.0234673,0.0205806,0.0210932,0.00941481,0.0272624,0.038261,0.0254438,0.0214261,0.0400916,0.0320079,0.0308939,0.0181491,0.0182588,0.021619,0.0210339,0.0194941,0.0233973,0.0156423,0.0147074,0.0249144,0.0154418,0.0168395,0.0157539,0.0275627,0.0160073,0.0107768,0.0337534,0.0424959,0.0111785,0.0415841,0.0174026,0.0174236,0.0324358,0.0388303,0.0281729,0.0284502,0.0238662,0.0205125,0.0211653,0.0115037,0.0104539,0.0111963,0.0136261,0.0207925,0.0305651,0.00972047
19,0.0154253,0.0131631,0.0121602,0.0234895,0.0205087,0.0212736,0.00910983,0.0272369,0.0382093,0.0253415,0.021362,0.0400158,0.0319455,0.0307918,0.0181049,0.0182392,0.0215993,0.0210417,0.0193919,0.023164,0.0155623,0.0145955,0.024743,0.0153888,0.0168727,0.0157498,0.0270182,0.0160004,0.0105632,0.0330564,0.0426221,0.0110936,0.0409977,0.0176262,0.0169861,0.0321378,0.038353,0.0280753,0.0279577,0.0234451,0.0199317,0.021105,0.0114129,0.0103925,0.0110981,0.0136065,0.02036,0.029977,0.00952737
20,0.0152819,0.0131068,0.0120275,0.02344,0.0203026,0.0214442,0.00875815,0.0271215,0.0381464,0.0251712,0.0212898,0.0398793,0.0318836,0.0306252,0.0180229,0.0181656,0.0215383,0.021048,0.0191207,0.0228576,0.01542,0.0144039,0.024509,0.0152847,0.0168994,0.0156451,0.0264577,0.0159636,0.0103148,0.0323486,0.0428327,0.0110206,0.0403802,0.0178285,0.0165456,0.0317767,0.0378836,0.0279158,0.0274499,0.0229931,0.0193359,0.0208752,0.0112923,0.0102755,0.0109559,0.0135543,0.0199093,0.0293944,0.00934518
21,0.0150512,0.0130421,0.0117845,0.0233239,0.0199644,0.0216063,0.00837037,0.0269186,0.038073,0.0249337,0.0212086,0.0396845,0.0318231,0.030395,0.0179025,0.0180389,0.0214362,0.0210508,0.01868,0.0224786,0.0152161,0.0141327,0.0242137,0.0151295,0.0169201,0.0154434,0.0258818,0.0159035,0.0100406,0.0316313,0.043128,0.0109715,0.0397316,0.0180119,0.0161066,0.0313538,0.0374236,0.0276968,0.0269281,0.0225114,0.018727,0.020476,0.0111419,0.0101045,0.0107708,0.0134701,0.0194422,0.0288194,0.00919289
22,0.0148464,0.0129958,0.0115658,0.0232237,0.0196565,0.0217546,0.00801332,0.0267354,0.0379868,0.0247066,0.0211306,0.0395048,0.0317338,0.0301813,0.017796,0.0179196,0.0213401,0.021059,0.0182727,0.0221178,0.0150303,0.0138752,0.0239367,0.0149896,0.0169297,0.0152681,0.0253306,0.0158557,0.00979352,0.0309317,0.043406,0.0109375,0.0391045,0.0182004,0.0157029,0.0309523,0.0369785,0.0274933,0.026427,0.0220545,0.0181411,0.0201132,0.011002,0.00994927,0.0106034,0.0133924,0.0189979,0.0282589,0.00907832
23,0.0147852,0.0129988,0.0115257,0.0232263,0.0195657,0.0218834,0.00773612,0.026691,0.0378867,0.0245802,0.0210703,0.0394194,0.0315798,0.030073,0.0177649,0.0178778,0.0213042,0.0210839,0.0181373,0.0218801,0.0149535,0.0137401,0.0237691,0.0149435,0.0169221,0.0152542,0.0248486,0.015847,0.00960891,0.0302801,0.0435429,0.0108799,0.0385595,0.0184161,0.0153661,0.0306661,0.036553,0.0273887,0.0259848,0.0216845,0.017615,0.0200271,0.0109175,0.00988684,0.0105208,0.0133639,0.0186201,0.0277183,0.00896639
24,0.0147417,0.0130192,0.011508,0.023239,0.019503,0.0220003,0.00747451,0.0266626,0.0377751,0.0244653,0.0210126,0.0393454,0.0313971,0.0299792,0.0177466,0.0178445,0.0212755,0.0211127,0.0180362,0.0216603,0.0148927,0.0136193,0.0236177,0.0149121,0.0169035,0.0152607,0.0243899,0.0158418,0.00943714,0.0296453,0.0436601,0.0108201,0.0380355,0.0186321,0.0150595,0.0303999,0.0361403,0.0272978,0.0255616,0.0213379,0.0171085,0.0199778,0.0108417,0.00983735,0.0104532,0.0133403,0.0182626,0.0271906,0.00886293
25,0.0146156,0.013029,0.011381,0.023187,0.0193101,0.022111,0.00718684,0.0265479,0.0376544,0.0242858,0.0209441,0.0392152,0.0312177,0.029824,0.0176882,0.0177602,0.0212077,0.0211329,0.0177663,0.0213694,0.0147704,0.0134205,0.0234051,0.0148288,0.0168785,0.015172,0.0239167,0.0158175,0.00924651,0.029002,0.0438615,0.0107902,0.03748,0.0188293,0.0147579,0.0300733,0.0357378,0.0271497,0.025124,0.0209622,0.0165914,0.0197599,0.0107352,0.00973543,0.0103437,0.0132842,0.0178888,0.0266718,0.00879875
26,0.0144134,0.0130284,0.0111463,0.0230737,0.0189893,0.0222152,0.00688791,0.0263495,0.0375246,0.0240422,0.0208638,0.0390311,0.0310421,0.0296091,0.0175892,0.0176253,0.0211015,0.0211447,0.0173284,0.0210081,0.0145884,0.0131437,0.0231318,0.0146932,0.016847,0.0149921,0.0234303,0.0157799,0.00904778,0.0283512,0.0441475,0.010801,0.0368939,0.0190098,0.0144662,0.0296877,0.0353472,0.0269462,0.0246734,0.0205575,0.0160677,0.0193729,0.0105984,0.00958268,0.010194,0.0131965,0.0174998,0.026164,0.00879123
27,0.014236,0.0130435,0.0109353,0.0229744,0.0186994,0.0223078,0.00662062,0.0261694,0.0373848,0.0238115,0.0207842,0.038861,0.0308398,0.0294108,0.0175015,0.0174998,0.0210032,0.0211596,0.0169248,0.0206651,0.0144236,0.0128819,0.0228751,0.0145715,0.016804,0.0148357,0.0229681,0.0157524,0.0088716,0.0277185,0.0444138,0.0108196,0.0363281,0.019192,0.0142097,0.029323,0.0349715,0.0267584,0.0242425,0.0201765,0.0155686,0.0190218,0.0104695,0.00944478,0.0100606,0.0131141,0.0171316,0.0256711,0.00880675
28,0.0141848,0.0131058,0.010899,0.0229674,0.0186198,0.0223838,0.00639531,0.0261204,0.0372332,0.0236844,0.0207208,0.0387773,0.030574,0.029314,0.0174859,0.0174537,0.0209672,0.0211922,0.016793,0.0204443,0.0143607,0.0127426,0.022723,0.0145407,0.0167448,0.0148279,0.0225714,0.0157469,0.00872535,0.0271321,0.0445362,0.010781,0.0358413,0.0193936,0.0140079,0.0290683,0.0346111,0.0266633,0.0238664,0.0198784,0.0151232,0.0189462,0.0103927,0.00939368,0.010005,0.0130775,0.0168251,0.0251943,0.00876583
29,0.0141494,0.0131833,0.0108848,0.022969,0.0185677,0.022449,0.00617956,0.0260861,0.0370712,0.0235709,0.0206588,0.0387032,0.0302816,0.0292314,0.0174813,0.0174177,0.0209393,0.0212306,0.0166962,0.0202413,0.0143111,0.012618,0.0225858,0.0145221,0.0166745,0.0148378,0.022197,0.0157425,0.00858492,0.0265627,0.0446377,0.010734,0.0353739,0.0195935,0.0138332,0.0288328,0.0342632,0.0265799,0.0235077,0.0196018,0.0146986,0.0189068,0.0103231,0.00935449,0.00996297,0.0130448,0.0165378,0.0247299,0.00872125
30,0.0140425,0.0132493,0.010764,0.0229113,0.01839,0.0225071,0.0059664,0.0259697,0.0369007,0.0233949,0.0205842,0.0385769,0.029995,0.0290904,0.0174346,0.0173325,0.0208733,0.021264,0.0164319,0.0199672,0.0142015,0.0124174,0.0223876,0.0144497,0.0165954,0.0147578,0.0218103,0.0157289,0.00844291,0.0259865,0.0448229,0.0107324,0.0348756,0.0197763,0.0136705,0.0285394,0.0339287,0.0264421,0.0231358,0.0192971,0.0142718,0.0186988,0.0102222,0.0092657,0.0098816,0.0129802,0.0162349,0.0242783,0.00873913
31,0.0138711,0.0133035,0.0105378,0.0227979,0.0180891,0.0225568,0.00577529,0.0257735,0.0367218,0.0231567,0.0204968,0.0384008,0.0297155,0.0288928,0.017346,0.0171974,0.0207695,0.0212932,0.0160004,0.0196229,0.014034,0.0121415,0.0221302,0.0143233,0.0165072,0.0145917,0.0214117,0.0157123,0.00831176,0.0254049,0.0450922,0.0107855,0.0343467,0.0199434,0.0135244,0.0281907,0.0336091,0.0262519,0.0227518,0.018965,0.0138462,0.0183222,0.0100907,0.00912968,0.00976316,0.0128838,0.0159175,0.0238414,0.008833
32,0.013723,0.013373,0.0103352,0.0226968,0.0178182,0.0225941,0.00561442,0.0255939,0.0365335,0.0229328,0.0204103,0.0382369,0.0294132,0.0287115,0.0172671,0.0170718,0.0206735,0.0213324,0.0156045,0.0192963,0.0138811,0.0118815,0.0218881,0.0142084,0.016407,0.0144462,0.021036,0.0157027,0.00819859,0.0248415,0.0453406,0.0108386,0.033837,0.0201097,0.0134088,0.027863,0.0333037,0.0260748,0.0223853,0.0186547,0.0134454,0.0179819,0.00996555,0.0090079,0.00965961,0.0127912,0.0156199,0.0234193,0.00893365
33,0.0136817,0.01349,0.0103032,0.022678,0.0177496,0.0226163,0.00544341,0.0255382,0.036335,0.0228133,0.020342,0.0381515,0.0290527,0.0286267,0.0172593,0.0170257,0.0206392,0.0213977,0.0154802,0.0190896,0.0138221,0.0117438,0.0217454,0.0141815,0.016293,0.0144381,0.0207214,0.0156981,0.0080809,0.0243226,0.0454429,0.0108055,0.0334035,0.0202897,0.0133307,0.0276396,0.0330088,0.0259817,0.0220691,0.0184212,0.013089,0.0179165,0.00988943,0.00896609,0.0096266,0.0127425,0.015378,0.0230091,0.00892882
34,0.0136539,0.0136224,0.0102931,0.0226669,0.0177072,0.0226268,0.00527486,0.0254964,0.036129,0.0227088,0.0202764,0.0380746,0.0286727,0.0285548,0.0172609,0.0169892,0.0206129,0.0214761,0.0153908,0.0188999,0.013773,0.0116219,0.0216152,0.0141653,0.0161684,0.0144454,0.0204277,0.0156921,0.00796476,0.0238202,0.0455234,0.0107587,0.0329878,0.0204661,0.0132744,0.0274343,0.0327257,0.0258974,0.021768,0.0182067,0.0127511,0.0178871,0.00981908,0.00893549,0.00960555,0.012697,0.0151523,0.0226115,0.00891045
35,0.0135671,0.0137432,0.0101792,0.0226023,0.0175439,0.0226264,0.0051444,0.0253758,0.0359175,0.0225432,0.020199,0.0379487,0.0283063,0.0284256,0.0172205,0.0169028,0.0205479,0.021556,0.0151354,0.0186407,0.0136659,0.0114256,0.0214256,0.014094,0.0160334,0.0143681,0.0201229,0.0156865,0.00786792,0.0233125,0.0456881,0.0107701,0.0325415,0.0206269,0.013234,0.0271745,0.0324576,0.0257609,0.0214542,0.0179637,0.0124159,0.0176902,0.00971757,0.0088591,0.00954805,0.0126194,0.014912,0.0222299,0.00897204
36,0.0134285,0.0138528,0.00996306,0.0224875,0.0172627,0.0226144,0.00507458,0.0251788,0.0357014,0.0223163,0.0201089,0.0377766,0.027956,0.0282406,0.0171379,0.0167659,0.020444,0.0216375,0.014714,0.0183125,0.013503,0.0111557,0.0211788,0.013968,0.0158865,0.0142102,0.0198083,0.0156875,0.00780325,0.0228007,0.0459374,0.0108473,0.0320646,0.0207737,0.0132135,0.0268622,0.0322064,0.0255751,0.0211285,0.0176938,0.0120877,0.0173268,0.00958515,0.00873935,0.009456,0.0125106,0.0146585,0.021867,0.00912358
37,0.0133111,0.0139782,0.00977029,0.0223832,0.0170111,0.0225895,0.00502962,0.0249972,0.0354821,0.0221045,0.0200207,0.0376152,0.0275923,0.0280683,0.0170651,0.0166379,0.020347,0.0217342,0.0143279,0.0180026,0.0133515,0.0109019,0.0209455,0.013853,0.0157273,0.0140714,0.0195151,0.0156927,0.0077532,0.0223068,0.0461653,0.0109174,0.0316053,0.0209187,0.0132167,0.0265692,0.0319682,0.0254009,0.0208179,0.0174426,0.0117812,0.0169998,0.00945822,0.00863291,0.00937705,0.0124049,0.0144216,0.0215189,0.00926898
38,0.0132813,0.0141502,0.00974545,0.0223534,0.0169532,0.0225521,0.00491333,0.0249333,0.035261,0.0219962,0.0199529,0.037526,0.0271799,0.0279849,0.0170628,0.0165877,0.0203105,0.0218631,0.0142124,0.0178104,0.0132851,0.0107693,0.0208054,0.0138249,0.0155589,0.0140599,0.0192774,0.0156863,0.00766599,0.0218535,0.046247,0.0108779,0.031219,0.0210733,0.0132379,0.026375,0.031735,0.0253048,0.0205516,0.0172605,0.011503,0.0169478,0.00937762,0.00860033,0.00936091,0.0123407,0.0142332,0.021178,0.00927337
39,0.0132628,0.0143373,0.00974277,0.0223303,0.0169208,0.022504,0.00479051,0.0248818,0.0350396,0.0219022,0.0198886,0.0374446,0.0267566,0.0279113,0.0170705,0.016545,0.0202806,0.0220084,0.0141321,0.017635,0.0132264,0.0106524,0.0206765,0.0138067,0.0153813,0.0140625,0.019059,0.0156764,0.007577,0.0214155,0.0463071,0.0108212,0.0308489,0.0212236,0.0132737,0.0261976,0.0315117,0.0252185,0.0202981,0.0170937,0.0112374,0.0169333,0.00930192,0.00857784,0.0093547,0.0122793,0.0140578,0.0208496,0.00925734
40,0.0131975,0.0145124,0.00963882,0.0222587,0.0167734,0.022445,0.00474285,0.0247548,0.0348186,0.0217464,0.0198123,0.0373178,0.0263549,0.0277808,0.0170359,0.0164502,0.0202105,0.0221556,0.0138862,0.0173922,0.013112,0.0104619,0.0204901,0.0137341,0.0151918,0.013986,0.0188316,0.0156764,0.00752792,0.0209739,0.0464518,0.010833,0.0304477,0.0213601,0.0133276,0.0259685,0.0313055,0.0250864,0.0200325,0.0168988,0.0109794,0.0167528,0.00919532,0.00851318,0.00931553,0.0121868,0.0138682,0.0205404,0.00933398
41,0.0130931,0.0146751,0.00943465,0.0221413,0.0165151,0.0223742,0.00479171,0.0245535,0.0345981,0.0215281,0.0197231,0.037148,0.0259762,0.0275952,0.0169594,0.0163026,0.0200998,0.0223028,0.0134742,0.0170835,0.0129435,0.0101991,0.020248,0.0136076,0.0149894,0.0138335,0.018597,0.0156921,0.00752958,0.0205303,0.0466809,0.0109187,0.0300155,0.021484,0.0134033,0.0256894,0.0311178,0.0249116,0.0197559,0.0166774,0.0107339,0.0164063,0.00905793,0.00840832,0.00924504,0.0120635,0.0136655,0.0202525,0.0095109
42,0.013008,0.0148512,0.0092539,0.0220332,0.0162867,0.022293,0.00485324,0.0243665,0.0343786,0.021323,0.0196372,0.0369882,0.0255899,0.0274211,0.0168925,0.0161614,0.0199939,0.0224625,0.0130968,0.0167936,0.0127838,0.00995175,0.0200185,0.0134917,0.0147783,0.0136985,0.0183827,0.0157095,0.00753897,0.0201039,0.0468892,0.010992,0.0295996,0.0216051,0.0134944,0.0254282,0.0309415,0.0247506,0.0194915,0.0164724,0.0105052,0.0160973,0.00892528,0.00831551,0.00918555,0.011943,0.013476,0.0199793,0.00967308
43,0.0129901,0.0150698,0.00923853,0.021992,0.0162429,0.0222057,0.00478302,0.0242925,0.0341617,0.0212191,0.0195744,0.0368945,0.0251596,0.0273311,0.0168961,0.0160959,0.0199468,0.0226514,0.0129892,0.0166196,0.0127011,0.00982224,0.0198772,0.0134619,0.0145661,0.0136824,0.0182177,0.0157001,0.00747813,0.0197145,0.0469512,0.010939,0.0292538,0.0217325,0.0135846,0.0252586,0.0307658,0.0246648,0.0192653,0.0163288,0.0102884,0.0160635,0.00883769,0.00829033,0.00918207,0.0118626,0.0133269,0.0197078,0.00967025
44,0.0129817,0.0152998,0.00924527,0.0219565,0.0162233,0.0221109,0.00469724,0.0242309,0.0339464,0.0211264,0.0195165,0.0368077,0.024723,0.0272506,0.0169092,0.0160359,0.019904,0.0228512,0.0129168,0.0164636,0.0126239,0.00970692,0.0197461,0.0134425,0.0143497,0.0136791,0.0180709,0.0156851,0.00740992,0.0193406,0.0469917,0.0108667,0.0289225,0.0218552,0.0136818,0.0251048,0.0305984,0.0245906,0.0190496,0.0161977,0.0100808,0.016067,0.00875475,0.0082737,0.00918679,0.0117847,0.0131875,0.0194469,0.00964239
45,0.0129391,0.0155145,0.00915179,0.0218756,0.0160964,0.0220058,0.00471725,0.0240958,0.0337304,0.0209688,0.0194467,0.0366795,0.0243122,0.0271188,0.0168796,0.0159213,0.0198189,0.0230448,0.0126789,0.0162437,0.0124938,0.00951871,0.0195612,0.0133694,0.0141236,0.0136009,0.0179179,0.0156887,0.00739646,0.018965,0.0471167,0.0108705,0.0285592,0.0219657,0.0137983,0.024903,0.0304489,0.0244764,0.0188221,0.01604,0.00988895,0.0159057,0.00864094,0.008218,0.00916168,0.0116766,0.0130342,0.0192079,0.0097163
