Timestep,C7,LANK,LASI,LBiceps,LClavicle,LD1M,LElbow,LForearm,LHEE,LKNE,LLCA,LMElbow,LMT5,LPSI,LSH1,LSH2,LSH3,LSTL,LShoulder,LTH1,LTH2,LTH3,LTHI,LTIB,LTOE,LWrist,RANK,RASI,RBiceps,RD1M,RElbow,RForearm,RHEE,RKNE,RLCA,RMElbow,RMT5,RPSI,RSH1,RSH2,RSTL,RShoulder,RTH1,RTH2,RTH3,RTHI,RTIB,RTOE,RWrist
687,0.0128525,0.0128576,0.03048,0.0178673,0.0181741,0.0201387,0.0137701,0.00784953,0.035566,0.013507,0.0165761,0.0331733,0.0339049,0.0236598,0.0113197,0.00958208,0.013742,0.0121021,0.0122683,0.0135584,0.0132852,0.0114765,0.0152435,0.0067278,0.0156129,0.0223578,0.0253241,0.0124309,0.00886652,0.00924084,0.0463684,0.00809599,0.0191777,0.00992166,0.00886616,0.0230649,0.0145446,0.0201034,0.0111169,0.0141544,0.00813639,0.0226069,0.0103249,0.0155526,0.00961615,0.017444,0.00935599,0.00523246,0.00929332
688,0.0128565,0.0127975,0.0307849,0.0179144,0.0184586,0.020228,0.0139384,0.00803568,0.035652,0.0137486,0.0167757,0.0333046,0.0340739,0.0237558,0.0114871,0.00975727,0.0139193,0.0122289,0.0125281,0.0139291,0.0136075,0.0118309,0.0155767,0.00690456,0.0157232,0.0222732,0.0251797,0.0126235,0.00887393,0.00930427,0.0462107,0.00822047,0.0192319,0.0100104,0.00910624,0.0232779,0.0144087,0.0201515,0.0111626,0.0141815,0.00799278,0.0229068,0.0101278,0.0155466,0.00961214,0.0173148,0.0093876,0.00521141,0.00957696
689,0.0128679,0.0127478,0.0311128,0.0179752,0.0187725,0.0203037,0.0141309,0.00824868,0.0357262,0.0140011,0.0169732,0.0334551,0.0342275,0.0238589,0.0116582,0.00993788,0.0140994,0.0123494,0.0128204,0.0143151,0.0139498,0.0122017,0.0159285,0.0070885,0.015821,0.022177,0.0250372,0.0128368,0.00890177,0.00936987,0.0460336,0.00836719,0.0192984,0.0101058,0.00935767,0.0235191,0.014274,0.0202024,0.0112173,0.0142149,0.00784687,0.0232392,0.00991929,0.015539,0.00961142,0.0171764,0.00943167,0.00519195,0.00989235
690,0.0128656,0.0126907,0.0313513,0.017975,0.0189469,0.020386,0.0142332,0.00833348,0.0357895,0.0141856,0.0171547,0.033509,0.0343945,0.023936,0.011793,0.0100668,0.0142376,0.0124627,0.0129562,0.0146195,0.0142084,0.0124936,0.0161946,0.00722263,0.0159338,0.0221594,0.0248951,0.0129656,0.00887326,0.00941477,0.0459362,0.00842318,0.0193297,0.0101958,0.00962648,0.0236501,0.0141417,0.0202432,0.0112399,0.0142125,0.00773837,0.0234236,0.0097636,0.0155456,0.0096209,0.0170774,0.00944639,0.00518079,0.0100811
691,0.0128449,0.0126247,0.031498,0.0179112,0.0189812,0.0204755,0.0142442,0.00828924,0.0358424,0.014302,0.0173203,0.0334656,0.0345744,0.023985,0.0118914,0.0101446,0.0143344,0.0125694,0.0129355,0.0148416,0.014383,0.0127059,0.016373,0.00730716,0.016061,0.0222187,0.0247537,0.0130084,0.00878166,0.00943933,0.0459183,0.00838318,0.0193265,0.0102762,0.00991211,0.0236696,0.0140122,0.0202721,0.01123,0.0141737,0.00767018,0.023459,0.00965809,0.0155635,0.00963498,0.0170162,0.0094299,0.00517775,0.0101427
692,0.0128271,0.0125675,0.0316652,0.0178583,0.0190436,0.0205515,0.0142784,0.00827162,0.035884,0.014429,0.0174832,0.0334409,0.0347379,0.0240389,0.0119946,0.0102278,0.0144343,0.0126709,0.0129477,0.0150768,0.0145756,0.0129326,0.016568,0.00739978,0.0161758,0.022265,0.0246154,0.0130696,0.00870369,0.00946807,0.0458797,0.00835924,0.0193371,0.0103583,0.0102075,0.0237166,0.0138849,0.0203028,0.0112298,0.0141409,0.00760388,0.0235255,0.00953865,0.0155772,0.00964656,0.0169434,0.00942474,0.00517562,0.0102358
693,0.0128403,0.0125398,0.0319865,0.0179052,0.0193325,0.0205918,0.0144697,0.00846418,0.0359119,0.0146592,0.0176597,0.0335722,0.0348513,0.024138,0.0121487,0.0103816,0.0145887,0.0127688,0.0132136,0.0154382,0.0149066,0.0132845,0.0169033,0.00756676,0.016247,0.0221931,0.0244823,0.0132727,0.00873866,0.0095296,0.0457036,0.00848826,0.0194164,0.0104626,0.0105035,0.0239547,0.0137592,0.020351,0.0112897,0.0141657,0.00749066,0.0238357,0.00933454,0.0155723,0.00965628,0.0168049,0.00948271,0.00516522,0.0105468
694,0.0128636,0.0125209,0.0323302,0.0179669,0.0196515,0.0206203,0.014686,0.00868448,0.0359283,0.0148998,0.0178337,0.0337236,0.0349487,0.0242444,0.012307,0.01054,0.0147458,0.0128624,0.0135124,0.0158127,0.0152553,0.0136498,0.0172554,0.00774122,0.0163074,0.0221103,0.0243527,0.0134959,0.00879889,0.00959562,0.045508,0.00864023,0.0195088,0.0105744,0.0108077,0.0242208,0.013636,0.0204026,0.0113601,0.0141979,0.00737847,0.0241781,0.00912018,0.0155671,0.00967132,0.0166581,0.00955381,0.0051547,0.0108903
695,0.0128648,0.0124923,0.0325804,0.0179626,0.019829,0.0206564,0.0148105,0.00877499,0.0359355,0.0150726,0.0179914,0.0337769,0.0350588,0.0243208,0.0124294,0.0106477,0.0148621,0.0129507,0.0136544,0.0161028,0.0155181,0.0139336,0.0175184,0.00786643,0.0163832,0.0221039,0.0242253,0.013632,0.00879209,0.0096423,0.0453914,0.0086934,0.019567,0.0106737,0.0111267,0.0243745,0.0135168,0.0204417,0.0113988,0.0141933,0.00731028,0.0243705,0.00895443,0.0155706,0.00968803,0.0165475,0.00959423,0.00515136,0.0111071
696,0.0128389,0.0124532,0.0327352,0.0178902,0.0198644,0.0206998,0.0148421,0.00873563,0.0359331,0.015177,0.0181329,0.0337311,0.0351808,0.0243653,0.0125161,0.0107058,0.0149374,0.0130335,0.0136387,0.0163084,0.0156948,0.0141363,0.0176911,0.00794291,0.0164733,0.022172,0.0240993,0.01368,0.00871038,0.00967016,0.0453527,0.00864338,0.019592,0.0107564,0.0114601,0.0244151,0.0134025,0.0204661,0.0114065,0.0141516,0.00728755,0.0244124,0.00883445,0.0155796,0.00970055,0.0164705,0.00960235,0.00515587,0.0111959
697,0.0128175,0.0124216,0.0329105,0.0178296,0.0199282,0.0207314,0.0148983,0.00872413,0.0359177,0.0152918,0.0182719,0.0337043,0.0352853,0.0244151,0.0126074,0.0107694,0.0150149,0.0131125,0.0136554,0.0165256,0.0158878,0.0143516,0.0178795,0.00802752,0.0165516,0.0222275,0.0239773,0.0137468,0.00864652,0.00970387,0.0452934,0.00861379,0.0196313,0.0108421,0.0117998,0.0244824,0.0132924,0.0204926,0.0114264,0.0141172,0.00726839,0.0244858,0.00870171,0.0155852,0.00971268,0.0163826,0.00962341,0.00516016,0.0113174
698,0.0128428,0.0124214,0.0332447,0.0178776,0.0202212,0.0207299,0.0151159,0.00892555,0.0358857,0.015509,0.018424,0.0338366,0.035339,0.0245147,0.0127507,0.0109015,0.0151459,0.0131912,0.0139267,0.0168671,0.016218,0.0146888,0.0182075,0.00818686,0.0165915,0.02217,0.0238622,0.013957,0.00871762,0.00977202,0.0450982,0.00875491,0.0197381,0.0109593,0.0121363,0.0247424,0.0131867,0.0205415,0.0115092,0.0141443,0.00720123,0.0248051,0.00849201,0.0155819,0.00973861,0.0162354,0.00971206,0.00515413,0.0116596
699,0.0128812,0.0124305,0.0336015,0.0179416,0.0205437,0.0207187,0.0153592,0.00915554,0.0358399,0.015736,0.0185736,0.0339899,0.0353763,0.024622,0.0128996,0.0110383,0.0152796,0.0132694,0.0142307,0.0172193,0.0165642,0.0150372,0.0185504,0.00835427,0.0166236,0.0221029,0.0237516,0.0141865,0.00881704,0.00984618,0.0448836,0.00892483,0.0198579,0.0110841,0.0124783,0.02503,0.0130864,0.0205943,0.011604,0.0141796,0.00713749,0.0251571,0.0082738,0.01558,0.00977279,0.0160811,0.00981521,0.00514616,0.0120353
700,0.0128885,0.0124284,0.0338614,0.017935,0.0207232,0.0207163,0.015509,0.00925485,0.0357821,0.0158944,0.0187081,0.0340436,0.035425,0.0246966,0.0130137,0.0111261,0.015373,0.0133451,0.0143771,0.0174858,0.0168226,0.0153034,0.0188016,0.00847362,0.0166716,0.0221097,0.0236436,0.0143274,0.00883651,0.0099016,0.0447459,0.00899152,0.0199451,0.01119,0.0128326,0.0252034,0.012993,0.020631,0.0116679,0.0141774,0.00712275,0.0253578,0.00809958,0.0155813,0.00979983,0.0159584,0.0098853,0.00514449,0.0122828
701,0.0128589,0.0124144,0.0340229,0.0178542,0.0207594,0.0207222,0.0155645,0.00922212,0.0357116,0.0159843,0.0188273,0.0339966,0.0354841,0.0247358,0.0130926,0.0111656,0.0154264,0.0134182,0.0143653,0.0176657,0.0169934,0.0154874,0.0189607,0.00854517,0.0167342,0.0221885,0.0235377,0.0143792,0.00876879,0.00993775,0.0446841,0.0089502,0.0200002,0.011273,0.0131983,0.0252623,0.0129067,0.0206499,0.0117014,0.014137,0.00715831,0.0254064,0.00796611,0.0155815,0.00981367,0.0158648,0.00992186,0.00514954,0.0124016
702,0.0128358,0.0124088,0.0342054,0.017786,0.0208237,0.0207187,0.0156443,0.00921782,0.035624,0.0160841,0.018945,0.0339692,0.0355251,0.024781,0.0131772,0.0112107,0.0154831,0.0134917,0.0143859,0.0178553,0.0171792,0.0156822,0.0191339,0.00862577,0.0167891,0.0222556,0.0234364,0.01445,0.00872152,0.0099797,0.0446019,0.00893473,0.0200693,0.0113601,0.0135676,0.0253484,0.0128277,0.0206711,0.0117471,0.014105,0.00719892,0.0254874,0.00782115,0.0155793,0.00983038,0.0157611,0.00997242,0.00515255,0.0125533
703,0.0128759,0.0124372,0.0345514,0.0178363,0.0211189,0.020687,0.0158887,0.00943071,0.0355152,0.0162858,0.0190781,0.0341048,0.0355156,0.0248818,0.0133157,0.0113232,0.0155922,0.0135716,0.0146614,0.0181685,0.0175003,0.0159971,0.0194459,0.00878153,0.0168137,0.0222151,0.0233434,0.0146661,0.00883054,0.0100566,0.044385,0.0091083,0.0202043,0.0114879,0.01393,0.0256287,0.0127554,0.0207188,0.0118557,0.0141384,0.00718944,0.0258171,0.00760987,0.0155798,0.00987808,0.0156056,0.0100931,0.00514156,0.0129268
704,0.0129315,0.0124763,0.03492,0.0179043,0.0214432,0.0206492,0.0161598,0.00967333,0.0353886,0.0164971,0.0192113,0.0342622,0.035489,0.0249908,0.0134612,0.0114402,0.0157039,0.0136566,0.0149695,0.0184915,0.0178361,0.0163223,0.0197718,0.0089466,0.0168355,0.0221662,0.0232559,0.0149012,0.00897027,0.010139,0.0441478,0.00931498,0.0203522,0.0116246,0.0142944,0.025937,0.01269,0.0207709,0.0119756,0.0141819,0.00718471,0.0261793,0.00739386,0.0155834,0.00993807,0.0154442,0.0102273,0.00512633,0.0133334
705,0.0129463,0.0125033,0.0351892,0.0178958,0.0216235,0.0206228,0.0163358,0.00978349,0.0352474,0.0166397,0.0193312,0.0343186,0.0354735,0.0250633,0.0135722,0.01151,0.0157763,0.0137431,0.0151195,0.0187268,0.0180833,0.0165646,0.0200048,0.00906421,0.0168755,0.0221885,0.0231717,0.0150469,0.0090183,0.0102006,0.0439865,0.00941124,0.020469,0.0117362,0.0146683,0.0261308,0.0126322,0.0208041,0.0120635,0.0141866,0.00723101,0.0263887,0.00721712,0.0155838,0.00998267,0.01531,0.010327,0.00511671,0.013611
706,0.0129137,0.0125174,0.035358,0.0178069,0.0216586,0.0206077,0.0164158,0.00976035,0.0350911,0.0167135,0.0194383,0.034272,0.0354683,0.0250976,0.0136486,0.0115333,0.0158103,0.013831,0.0151116,0.0188747,0.0182413,0.0167236,0.020144,0.00913502,0.0169321,0.0222794,0.0230912,0.0151022,0.00896853,0.0102413,0.0439003,0.00939251,0.0205553,0.011819,0.0150511,0.0262088,0.0125816,0.0208164,0.01212,0.0141522,0.00732855,0.0264449,0.00707495,0.0155765,0.0100057,0.0151999,0.0103913,0.00511303,0.0137602
707,0.0128902,0.0125421,0.0355482,0.0177318,0.0217223,0.0205881,0.0165215,0.0097664,0.0349157,0.0167977,0.0195472,0.034246,0.0354453,0.0251385,0.0137323,0.0115622,0.015848,0.0139265,0.0151361,0.0190317,0.0184134,0.0168927,0.0202962,0.00921541,0.0169874,0.0223599,0.0230175,0.0151765,0.00894278,0.0102862,0.0437929,0.00940211,0.0206554,0.0119074,0.015434,0.0263143,0.0125372,0.0208309,0.0121874,0.0141283,0.00742975,0.026533,0.00692446,0.0155689,0.0100353,0.015081,0.0104686,0.00510463,0.0139427
708,0.0129481,0.0126057,0.0359054,0.0177858,0.0220186,0.0205486,0.0167952,0.00999341,0.0347167,0.0169843,0.0196758,0.0343876,0.0353729,0.0252398,0.0138713,0.0116571,0.015937,0.0140387,0.0154156,0.0193108,0.0187204,0.0171814,0.0205865,0.00937105,0.0170257,0.0223399,0.022953,0.0153971,0.00909263,0.010365,0.043552,0.00961317,0.020819,0.0120464,0.0158063,0.0266152,0.0124978,0.0208768,0.0123158,0.0141729,0.00747942,0.0268714,0.0067237,0.0155756,0.0101149,0.0149189,0.0106165,0.00507803,0.0143485
709,0.0130243,0.0126823,0.0362856,0.0178597,0.0223443,0.0205097,0.017096,0.0102513,0.0345001,0.0171804,0.0198096,0.0345519,0.0352847,0.0253497,0.0140182,0.0117576,0.0160287,0.0141628,0.0157277,0.0195988,0.0190407,0.0174801,0.0208901,0.00953662,0.0170701,0.022313,0.0228954,0.0156367,0.00927574,0.0104472,0.0432914,0.00985732,0.0209939,0.0121961,0.0161771,0.0269444,0.0124635,0.0209277,0.0124542,0.0142285,0.00753272,0.0272422,0.00652445,0.0155883,0.01021,0.0147526,0.0107769,0.00504575,0.0147878
710,0.0130493,0.0127478,0.0365636,0.0178512,0.0225248,0.0204867,0.0173005,0.0103758,0.03427,0.0173087,0.0199339,0.0346126,0.0352083,0.0254199,0.0141314,0.0118123,0.0160828,0.0142934,0.0158815,0.0197988,0.0192719,0.017695,0.0210993,0.00965602,0.0171362,0.022354,0.0228432,0.015786,0.00935738,0.0105069,0.0431049,0.00998321,0.0211378,0.0123157,0.0165546,0.027158,0.0124349,0.0209568,0.0125604,0.0142445,0.00763537,0.027459,0.0063596,0.0155913,0.0102811,0.0146085,0.0109006,0.00501888,0.0150988
711,0.0130166,0.0128017,0.0367387,0.0177559,0.0225588,0.0204792,0.0174083,0.0103659,0.0340266,0.0173693,0.0200493,0.0345677,0.0351431,0.0254485,0.0142103,0.0118226,0.0160995,0.0144306,0.0158767,0.0199107,0.0194144,0.0178266,0.0212147,0.00972998,0.0172232,0.0224604,0.0227965,0.0158448,0.00933143,0.0105439,0.0429922,0.0099871,0.0212521,0.0124015,0.0169381,0.0272557,0.012412,0.0209623,0.0126344,0.0142204,0.00778582,0.0275209,0.00622318,0.0155797,0.0103224,0.0144831,0.0109878,0.00499812,0.0152826
712,0.0129954,0.0128697,0.0369355,0.0176763,0.0226219,0.0204754,0.017543,0.0103861,0.0337665,0.01744,0.0201722,0.0345446,0.0350621,0.0254841,0.014297,0.011839,0.0161192,0.0145838,0.0159037,0.0200315,0.0195699,0.0179678,0.0213426,0.0098142,0.0173187,0.0225572,0.0227575,0.0159224,0.0093326,0.0105846,0.0428582,0.0100207,0.0213781,0.0124948,0.0173184,0.0273808,0.0123936,0.0209718,0.0127185,0.0142073,0.00793722,0.0276142,0.00608451,0.01557,0.0103744,0.0143505,0.0110872,0.00497195,0.0155009
713,0.0130731,0.012985,0.0373019,0.0177379,0.0229195,0.0204658,0.0178483,0.0106307,0.0334859,0.0176122,0.0203233,0.0346937,0.0349372,0.0255853,0.0144407,0.0119199,0.0161895,0.0147655,0.0161851,0.020274,0.0198587,0.0182275,0.0216081,0.00997348,0.0174152,0.0225607,0.0227287,0.0161469,0.00952558,0.0106595,0.0425928,0.0102679,0.0215623,0.0126493,0.0176837,0.0277015,0.0123773,0.0210181,0.0128613,0.0142656,0.00803582,0.0279588,0.00592026,0.0155888,0.0104944,0.0141862,0.0112556,0.00492498,0.0159434
714,0.0131714,0.0131189,0.0376907,0.0178209,0.0232465,0.0204671,0.0181811,0.0109075,0.0331911,0.017795,0.0204863,0.0348663,0.0348005,0.0256961,0.0145929,0.0120062,0.0162631,0.0149681,0.0164984,0.0205248,0.0201605,0.0184967,0.0218859,0.0101428,0.0175301,0.0225589,0.0227079,0.0163907,0.00975323,0.0107386,0.0423078,0.01055,0.0217555,0.0128166,0.018044,0.0280502,0.0123643,0.02107,0.0130131,0.014335,0.00813498,0.0283359,0.00576823,0.015616,0.0106343,0.0140203,0.0114354,0.00487176,0.0164211
715,0.0132077,0.0132447,0.037975,0.0178145,0.0234271,0.0204901,0.0184165,0.01105,0.0328865,0.0179111,0.0206461,0.0349329,0.0346776,0.0257644,0.0147112,0.0120487,0.0163001,0.0151829,0.0166531,0.0206876,0.020373,0.0186824,0.0220689,0.010267,0.0176715,0.0226214,0.0226929,0.0165437,0.00987035,0.0107961,0.0420955,0.0107081,0.0219175,0.0129495,0.0184082,0.0282824,0.0123554,0.0210972,0.0131332,0.0143638,0.00827883,0.0285574,0.00564533,0.0156264,0.0107417,0.0138715,0.0115772,0.00482632,0.0167718
716,0.0131759,0.0133617,0.0381539,0.0177143,0.0234604,0.0205342,0.0185544,0.0110571,0.0325717,0.0179599,0.0208037,0.0348916,0.0345685,0.0257874,0.014796,0.0120488,0.0163002,0.0154104,0.0166491,0.0207622,0.0204964,0.0187845,0.0221569,0.0103469,0.0178383,0.0227448,0.0226846,0.0166061,0.00987275,0.0108327,0.0419552,0.0107393,0.0220493,0.0130449,0.018776,0.0283978,0.0123509,0.0210984,0.0132221,0.0143522,0.00846535,0.0286225,0.00554227,0.0156152,0.0108108,0.0137358,0.011681,0.0047905,0.0169961
717,0.0131578,0.0134991,0.0383542,0.0176314,0.023523,0.0205932,0.0187195,0.0110955,0.0322437,0.0180193,0.0209775,0.0348724,0.0344493,0.0258177,0.0148893,0.0120552,0.0163038,0.0156622,0.016677,0.0208451,0.020633,0.0188959,0.0222573,0.0104379,0.0180264,0.0228604,0.0226841,0.0166878,0.00990454,0.0108746,0.041794,0.0108027,0.0221901,0.0131503,0.0191373,0.0285409,0.0123494,0.0211035,0.0133211,0.0143518,0.0086488,0.0287196,0.00544719,0.0156087,0.0108952,0.0135949,0.0117953,0.00475027,0.0172562
