Muscle Name,Negative Force (F_iso)
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
piri_l,-0.0010639004371514708
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
piri_l,-0.0010639004371514708
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
piri_l,-0.0010639004371514708
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
piri_l,-0.0010639004371514708
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
piri_l,-0.0010639004371514708
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
piri_l,-0.0010639004371514708
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
piri_l,-0.0010639004371514708
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
piri_l,-0.0010639004371514708
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
piri_l,-0.0010639004371514708
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
piri_l,-0.0010639004371514708
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
piri_l,-0.0010639004371514708
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
piri_l,-0.0010639004371514708
fdl_r,-4.9273304929691375e-05
piri_r,-0.0001930374284989323
edl_l,-0.0005537556654979174
ehl_l,-0.00046974389388821524
piri_l,-0.0010639004371514708
