,0
ankle_angle_l,0.18858470257150273
ankle_angle_r,0.19350284306303686
arm_add_l,0.10531876758198377
arm_add_r,0.07594853584962563
arm_flex_l,0.2499013557070322
arm_flex_r,0.22497203628845608
arm_rot_l,0.13728195266227858
arm_rot_r,0.09044967214738675
elbow_flex_l,0.13951600761942176
elbow_flex_r,0.22351495572635943
hip_adduction_l,0.10901980122087562
hip_adduction_r,0.09894738335895001
hip_flexion_l,0.24664301669106353
hip_flexion_r,0.2256288861959659
hip_rotation_l,0.07784395184021009
hip_rotation_r,0.052485648128003555
knee_angle_l,0.35372590353832384
knee_angle_l_beta,0.006173681692284689
knee_angle_r,0.3397844788355952
knee_angle_r_beta,0.00593035790815259
lumbar_bending,0.12108266394645738
lumbar_extension,0.05666840542574076
lumbar_rotation,0.1809605669297381
mtp_angle_l,0.07401812373982314
mtp_angle_r,0.06851314287029621
pelvis_list,0.05076500273571282
pelvis_rotation,0.025288959168077024
pelvis_tilt,0.03562849329698886
pelvis_tx,0.452513330864789
pelvis_ty,0.02990225449647029
pelvis_tz,0.010658362279543072
pro_sup_l,0.02353812282638188
pro_sup_r,0.03316426086918649
subtalar_angle_l,0.09160614022557237
subtalar_angle_r,0.08053300112995458
