Muscle Name,Negative Force (F_iso)
fdl_r,-0.0008381804010711301
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
piri_r,-0.0014034254929903892
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
piri_r,-0.0014034254929903892
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
piri_r,-0.0014034254929903892
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
piri_r,-0.0014034254929903892
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
piri_r,-0.0014034254929903892
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
piri_r,-0.0014034254929903892
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
piri_r,-0.0014034254929903892
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
piri_r,-0.0014034254929903892
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
piri_r,-0.0014034254929903892
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
piri_r,-0.0014034254929903892
tibpost_r,-0.0006946346429052035
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
piri_r,-0.0014034254929903892
tibpost_r,-0.0006946346429052035
fdl_r,-0.0008381804010711301
fhl_r,-0.0004946012721359303
