Muscle Name,Negative Force (F_iso)
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
tibpost_r,-0.0002883769644005301
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
tibpost_r,-0.0002883769644005301
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
tibpost_r,-0.0002883769644005301
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
tibpost_r,-0.0002883769644005301
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
tibpost_r,-0.0002883769644005301
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
tibpost_r,-0.0002883769644005301
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
tibpost_r,-0.0002883769644005301
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
tibpost_r,-0.0002883769644005301
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
tibpost_r,-0.0002883769644005301
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
tibpost_r,-0.0002883769644005301
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
tibpost_r,-0.0002883769644005301
fdl_r,-0.0006749381162650198
piri_r,-0.0005271027557193401
tibpost_r,-0.0002883769644005301
