Timestep,C7,LANK,LASI,LBiceps,LClavicle,LD1M,LElbow,LForearm,LHEE,LKNE,LLCA,LMAnkle,LMElbow,LMKnee,LMT5,LPSI,LSH1,LSH2,LSH3,LSTL,LShoulder,LTH1,LTH2,LTH3,LTHI,LTIB,LTOE,LWrist,RANK,RASI,RBiceps,RD1M,RElbow,RForearm,RHEE,RKNE,RLCA,RMAnkle,RMElbow,RMKnee,RMT5,RPSI,RSH1,RSH2,RSTL,RShoulder,RTH1,RTH2,RTH3,RTHI,RTIB,RTOE,RWrist
All Timesteps RMSE,0.0372926,0.0205643,0.0380771,0.0175138,0.0431682,0.0167747,0.0280293,0.0159937,0.0190877,0.0195398,0.0241881,0.0159213,0.0148222,0,0.0229866,0.0711511,0.0150181,0.0161479,0.0159341,0.0166247,0.0265523,0.0211311,0.025085,0.0240656,0.0205673,0.0162388,0.0168208,0.0142623,0.0196698,0.0263952,0.0180479,0.018404,0.0196992,0.0136963,0.0191762,0.0180042,0.0222921,0.0191785,0.0187729,0,0.0214597,0.0630445,0.0152706,0.0132937,0.0168037,0.0420212,0.0160681,0.019446,0.0170792,0.017596,0.0131167,0.0187743,0.0198898
0,0.0517584,0.0149217,0.00790652,0.0162578,0.0742362,0.0185332,0.0175682,0.0146917,0.0293959,0.0244415,0.024158,0.0164875,0.017613,0,0.0204454,0.07578,0.0199645,0.0188023,0.0199146,0.0216227,0.0221404,0.0216895,0.0284013,0.0177858,0.0290875,0.017574,0.0177362,0.0234569,0.0436065,0.00645029,0.0389849,0.04977,0.0228083,0.0208678,0.0474833,0.0344335,0.0504853,0.0471696,0.0298357,0,0.0523363,0.0723962,0.041074,0.0383483,0.0447613,0.0650472,0.0356213,0.0339125,0.0360849,0.0329859,0.037275,0.0466227,0.033436
1,0.0516537,0.0144917,0.00788817,0.0158782,0.07411,0.0187888,0.0175756,0.0145116,0.0291084,0.0240914,0.0238106,0.0167281,0.0172332,0,0.0209431,0.0757133,0.0198369,0.0188462,0.0199848,0.0213421,0.0217167,0.0213113,0.0280958,0.0174794,0.0286469,0.0174719,0.0182006,0.0230916,0.0423453,0.00659534,0.0385295,0.0485635,0.0226716,0.0202977,0.0464178,0.033623,0.0493479,0.0460549,0.0296104,0,0.0510232,0.0723759,0.0399245,0.0373034,0.0436409,0.0647305,0.0349782,0.033344,0.0354418,0.0324098,0.036151,0.0452862,0.0325089
2,0.0515858,0.0141017,0.00787586,0.0155931,0.0740258,0.0190596,0.0176263,0.014408,0.0288455,0.02377,0.0234894,0.0169982,0.0169161,0,0.0214011,0.0756816,0.0197408,0.0189018,0.0200693,0.0210961,0.0213984,0.0209678,0.0278022,0.0171903,0.0282317,0.017397,0.0186396,0.0227593,0.0411423,0.00669517,0.0381651,0.0474037,0.0225878,0.0198108,0.045411,0.0328661,0.0482733,0.0449923,0.0293987,0,0.0497622,0.0723828,0.0388306,0.0363202,0.0425753,0.0644954,0.0343623,0.0328038,0.0348311,0.0318572,0.0350829,0.0439959,0.0316746
3,0.051596,0.0137665,0.00787793,0.015493,0.0740361,0.0193478,0.0177115,0.0144149,0.0286135,0.0235091,0.0232051,0.0172982,0.0166941,0,0.0218063,0.0757243,0.0196957,0.018988,0.0201858,0.0208895,0.0213182,0.0207005,0.0275255,0.0169326,0.0278711,0.0173717,0.0190465,0.0224557,0.0400509,0.00667136,0.0380052,0.046331,0.0226065,0.0195033,0.0445165,0.0322143,0.0473118,0.0440288,0.0292018,0,0.0485924,0.0724461,0.0378407,0.0354543,0.0416175,0.0644481,0.0338014,0.0323182,0.0342846,0.0313515,0.0341207,0.0427928,0.0310403
4,0.0516116,0.0134562,0.00788498,0.0154107,0.0740499,0.0196389,0.0178079,0.0144384,0.028397,0.0232589,0.0229388,0.0176049,0.0164877,0,0.0221799,0.0757728,0.0196639,0.0190729,0.0203021,0.0207064,0.0212567,0.0204422,0.0272558,0.0166824,0.0275189,0.0173562,0.01943,0.0221655,0.0389828,0.00664147,0.0378609,0.0452778,0.0226288,0.0192122,0.0436441,0.0315853,0.0463786,0.043086,0.0290084,0,0.0474486,0.072513,0.0368749,0.0346146,0.04068,0.0644133,0.0332501,0.0318403,0.0337483,0.0308525,0.0331831,0.0416094,0.0304306
5,0.051576,0.0131469,0.0078806,0.0152216,0.0739966,0.019923,0.0179161,0.014423,0.0281837,0.0229772,0.0226761,0.0179015,0.0162479,0,0.0225394,0.0757746,0.0196178,0.0191315,0.0203932,0.0205349,0.0210387,0.0201387,0.0269856,0.0164196,0.027137,0.0173195,0.0197967,0.021888,0.037868,0.00670299,0.0375818,0.0441915,0.0225833,0.0188103,0.0427225,0.030912,0.0454082,0.0421012,0.0288138,0,0.0462804,0.0725443,0.0358706,0.0337276,0.0396932,0.0642514,0.0326715,0.0313339,0.0331797,0.0303288,0.0322047,0.0403916,0.0297044
6,0.0514919,0.0128372,0.00786165,0.0149351,0.0738782,0.0201982,0.0180491,0.0143834,0.027973,0.0226638,0.0224167,0.0181848,0.0159884,0,0.0228851,0.075732,0.0195575,0.0191641,0.0204596,0.0203738,0.0206674,0.01979,0.0267153,0.0161445,0.0267255,0.0172626,0.0201464,0.0216326,0.0367078,0.00685828,0.0371714,0.0430732,0.0224773,0.0183009,0.0417539,0.0301953,0.0444036,0.0410759,0.0286216,0,0.0450905,0.0725425,0.0348298,0.0327949,0.0386581,0.0639656,0.0320661,0.0308002,0.0325796,0.0297817,0.0311866,0.0391403,0.0288631
7,0.0514193,0.0125472,0.00784519,0.0146838,0.0737704,0.0204695,0.0182048,0.0143777,0.0277741,0.022363,0.0221751,0.0184613,0.0157615,0,0.0231985,0.0757016,0.0195104,0.0191967,0.0205264,0.0202314,0.0203284,0.019454,0.0264531,0.0158778,0.0263242,0.0172172,0.0204711,0.0214003,0.0355769,0.00700344,0.0367887,0.0419795,0.0223862,0.0178196,0.0408142,0.0295066,0.0434348,0.0400759,0.0284372,0,0.0439336,0.0725498,0.0338193,0.0318948,0.037649,0.0637033,0.0314721,0.0302778,0.0319932,0.0292446,0.0301983,0.0379135,0.0280562
8,0.0514238,0.0122996,0.00785077,0.0146047,0.073758,0.0207436,0.0183515,0.014443,0.0275972,0.0221293,0.0219677,0.0187384,0.0156016,0,0.0234584,0.0757461,0.0195073,0.0192601,0.0206218,0.020118,0.0202382,0.0192001,0.026206,0.0156423,0.025981,0.0172184,0.0207615,0.0211717,0.0345635,0.00700692,0.0366195,0.0409771,0.0223855,0.0175212,0.0399911,0.0289306,0.0425817,0.0391802,0.0282572,0,0.0428705,0.0726113,0.0329175,0.0311182,0.036753,0.0636374,0.0309346,0.0298104,0.0314723,0.0287551,0.0293222,0.0367784,0.0274602
9,0.0514374,0.0120665,0.00786209,0.0145487,0.0737538,0.0210107,0.0185007,0.0145201,0.0274282,0.0219103,0.0217772,0.019001,0.0154567,0,0.023687,0.0758002,0.0195139,0.0193238,0.0207153,0.0200196,0.0201794,0.0189602,0.0259655,0.0154143,0.0256488,0.0172286,0.021027,0.020952,0.0335793,0.0069954,0.0364767,0.0399989,0.0223918,0.0172483,0.0391952,0.0283833,0.0417625,0.0383098,0.028079,0,0.0418381,0.0726794,0.0320456,0.0303739,0.0358824,0.063594,0.0304088,0.0293532,0.0309644,0.0282744,0.0284768,0.0356671,0.0268994
10,0.0514035,0.0118255,0.00785678,0.0143993,0.0736859,0.0212618,0.0186787,0.0145788,0.0272558,0.0216589,0.0215892,0.0192376,0.0152995,0,0.0239029,0.0758107,0.0195033,0.0193608,0.0207827,0.0199247,0.0199666,0.018674,0.0257246,0.0151744,0.0252863,0.0172176,0.0212748,0.0207592,0.0325492,0.00707956,0.0362014,0.0389882,0.0223404,0.0168686,0.0383518,0.0277924,0.0409102,0.0373977,0.0279047,0,0.0407862,0.0727157,0.0311376,0.0295846,0.034963,0.0634258,0.0298556,0.0288689,0.0304251,0.0277698,0.0275926,0.034522,0.026222
11,0.0513239,0.0115751,0.00783221,0.0141651,0.0735548,0.0214964,0.018897,0.0146318,0.0270786,0.021374,0.0214032,0.0194472,0.0151441,0,0.0241062,0.0757792,0.0194753,0.0193715,0.0208243,0.0198323,0.0196003,0.018341,0.0254838,0.0149227,0.0248933,0.0171858,0.0215045,0.020602,0.0314732,0.00726212,0.0357947,0.0379457,0.0222371,0.0163842,0.0374619,0.0271577,0.0400267,0.0364437,0.0277383,0,0.0397167,0.0727214,0.0301947,0.028751,0.0339949,0.063133,0.0292755,0.0283586,0.0298546,0.0272417,0.0266694,0.0333436,0.0254272
12,0.051255,0.011334,0.00781061,0.0139623,0.0734334,0.0217211,0.0191262,0.0147077,0.0269052,0.0211024,0.0212322,0.0196376,0.0150166,0,0.0242793,0.0757596,0.0194554,0.0193814,0.020864,0.0197506,0.019266,0.0180212,0.0252501,0.0146787,0.0245108,0.017162,0.021709,0.0204618,0.0304269,0.00743097,0.0354153,0.0369285,0.0221467,0.0159276,0.0366011,0.0265516,0.0391799,0.0355156,0.0275774,0,0.0386819,0.0727353,0.0292833,0.0279511,0.0330529,0.0628639,0.0287064,0.0278591,0.0292977,0.0267227,0.0257776,0.0321897,0.0246672
13,0.0512576,0.0111227,0.00781657,0.0139075,0.0734042,0.0219428,0.0193084,0.0148111,0.0267453,0.020902,0.0210912,0.0198166,0.0149175,0,0.0244016,0.0758114,0.0194719,0.0194211,0.020929,0.0196894,0.0191803,0.0177857,0.0250282,0.0144632,0.0241868,0.017179,0.0218812,0.0202974,0.0294989,0.00744853,0.0352488,0.0360024,0.0221304,0.0156479,0.0358551,0.0260606,0.0384452,0.0346918,0.0274096,0,0.037739,0.0727989,0.028481,0.0272745,0.0322241,0.0627904,0.0281931,0.0274112,0.0288041,0.0262498,0.0249995,0.0311281,0.0241201
14,0.0512684,0.0109168,0.0078284,0.0138718,0.0733831,0.0221531,0.0194848,0.0149177,0.026586,0.0207174,0.0209638,0.0199738,0.0148269,0,0.0244955,0.0758728,0.0194936,0.0194606,0.020991,0.0196362,0.0191267,0.0175646,0.0248118,0.0142543,0.0238736,0.0172024,0.0220299,0.020137,0.0286006,0.0074487,0.0351094,0.0351006,0.0221184,0.0153931,0.0351367,0.0256002,0.0377446,0.033893,0.0272414,0,0.0368286,0.0728682,0.0277101,0.0266308,0.0314211,0.0627402,0.0276907,0.0269732,0.0283232,0.0257852,0.0242537,0.0300906,0.0236083
15,0.0512352,0.0106971,0.00781983,0.0137559,0.0733005,0.0223445,0.0197049,0.0150235,0.0264174,0.0204994,0.0208369,0.0201011,0.0147461,0,0.0245789,0.0758937,0.0194956,0.0194733,0.0210262,0.0195802,0.0189208,0.0172961,0.0245958,0.0140337,0.0235295,0.0172033,0.0221614,0.0200156,0.0276569,0.0075476,0.0348391,0.0341674,0.0220587,0.0150362,0.0343726,0.0250968,0.0370148,0.0330526,0.0270824,0,0.0359032,0.0729088,0.0269057,0.0259445,0.0305692,0.0625664,0.0271607,0.0265099,0.0278121,0.0252972,0.0234704,0.0290195,0.0229794
16,0.0511602,0.0104635,0.00778888,0.0135689,0.0731576,0.0225167,0.0199773,0.0151399,0.0262383,0.0202463,0.0207098,0.0201993,0.014688,0,0.0246518,0.0758761,0.0194779,0.019459,0.0210355,0.0195214,0.0185632,0.0169795,0.0243801,0.0138022,0.0231539,0.0171819,0.0222753,0.0199416,0.0266681,0.00774605,0.0344389,0.0332035,0.0219572,0.0145794,0.0335638,0.0245494,0.0362583,0.0321702,0.0269367,0,0.034966,0.072922,0.0260689,0.0252162,0.0296682,0.0622692,0.0266038,0.0260223,0.027271,0.0247866,0.0226505,0.0279155,0.0222327
17,0.051095,0.0102342,0.00776157,0.0134097,0.0730244,0.0226767,0.0202513,0.0152694,0.0260568,0.0200075,0.0205944,0.0202767,0.0146509,0,0.0246973,0.0758699,0.0194641,0.0194433,0.0210421,0.0194678,0.0182387,0.0166762,0.02417,0.013578,0.022788,0.0171657,0.0223665,0.019878,0.0257095,0.00792766,0.0340666,0.0322654,0.0218658,0.0141502,0.0327836,0.0240322,0.0355387,0.0313126,0.0267938,0,0.0340655,0.0729427,0.025265,0.0245224,0.0287931,0.0619959,0.0260576,0.0255451,0.0267425,0.0242845,0.021864,0.0268363,0.0215207
18,0.0510952,0.0100283,0.00776687,0.0133728,0.072979,0.0228331,0.0204474,0.0153891,0.0258824,0.0198427,0.0205045,0.0203433,0.0146017,0,0.0246958,0.0759306,0.0194817,0.0194577,0.0210737,0.0194293,0.0181616,0.0164587,0.0239694,0.0133792,0.0224811,0.0171872,0.0224297,0.0197627,0.0248689,0.0079513,0.0339062,0.0314173,0.0218331,0.0138907,0.0321153,0.023632,0.0349256,0.0305593,0.0266323,0,0.0332527,0.0730076,0.0245688,0.0239506,0.0280313,0.0619173,0.025566,0.0251163,0.0262752,0.0238264,0.0211918,0.0258494,0.0210241
19,0.0511025,0.00982547,0.00777842,0.0133506,0.0729419,0.0229775,0.0206318,0.015505,0.0257041,0.0196943,0.0204245,0.0203902,0.0145533,0,0.0246679,0.076001,0.0195023,0.0194711,0.0211024,0.0193948,0.0181167,0.0162551,0.0237727,0.013186,0.022185,0.0172128,0.0224726,0.019645,0.0240587,0.00795569,0.033773,0.0305942,0.0218032,0.0136556,0.0314737,0.0232628,0.0343458,0.0298314,0.0264685,0,0.032473,0.0730772,0.0239049,0.0234121,0.027295,0.0618621,0.0250852,0.0246963,0.0258201,0.023376,0.0205527,0.0248868,0.0205634
20,0.0510694,0.00960919,0.00776681,0.0132622,0.0728461,0.0231024,0.0208715,0.0156355,0.0255126,0.0195101,0.0203423,0.0204103,0.0145343,0,0.0246315,0.0760338,0.0195018,0.0194579,0.0211053,0.0193546,0.0179213,0.0160028,0.0235759,0.0129821,0.0218566,0.0172141,0.0225,0.0195771,0.0232037,0.00805968,0.0335104,0.0297407,0.0217352,0.0133228,0.0307883,0.0228506,0.0337412,0.0290607,0.0263191,0,0.0316846,0.0731206,0.0232105,0.0228334,0.0265092,0.0616839,0.0245774,0.024253,0.0253355,0.0229029,0.0198786,0.0238909,0.0199848
21,0.0509975,0.00938008,0.00772993,0.0131162,0.0726924,0.0232072,0.0211738,0.01579,0.0253079,0.0192891,0.0202577,0.0204051,0.0145574,0,0.0245874,0.0760307,0.0194799,0.0194179,0.0210831,0.0193078,0.0175765,0.015701,0.0233806,0.0127687,0.0214952,0.0171921,0.0225111,0.0195663,0.022304,0.00826384,0.0331188,0.0288578,0.021634,0.0128952,0.0300611,0.0223945,0.0331148,0.0282474,0.0261877,0,0.0308918,0.0731392,0.022487,0.0222156,0.0256738,0.0613834,0.0240419,0.023787,0.024822,0.0224075,0.0191712,0.0228622,0.0192876
22,0.0509346,0.0091557,0.00769797,0.0129932,0.0725478,0.0232997,0.0214702,0.0159485,0.0250983,0.0190829,0.0201816,0.0203836,0.0145928,0,0.0245189,0.0760384,0.0194593,0.019377,0.0210594,0.0192629,0.0172652,0.015412,0.0231902,0.0125614,0.0211431,0.0171737,0.0225023,0.0195587,0.0214344,0.00844895,0.0327553,0.0280007,0.021541,0.0124946,0.0293625,0.0219695,0.0325246,0.0274589,0.0260565,0,0.0301373,0.0731645,0.0217978,0.0216322,0.0248642,0.0611068,0.0235162,0.023331,0.0243208,0.0219205,0.0184987,0.021858,0.0186257
23,0.050932,0.0089568,0.0077041,0.0129666,0.0724877,0.0233896,0.0216651,0.0160671,0.0248926,0.0189536,0.0201266,0.0203574,0.0145772,0,0.0244066,0.0761094,0.0194678,0.0193668,0.0210611,0.0192307,0.0171997,0.01521,0.0230058,0.012376,0.0208505,0.0171904,0.0224716,0.0194741,0.0206829,0.00847123,0.0326034,0.0272323,0.0214925,0.0122569,0.0287712,0.0216625,0.0320321,0.0267739,0.0258963,0,0.029464,0.073229,0.0212146,0.0211669,0.0241675,0.0610241,0.0230446,0.0229197,0.0238792,0.0214756,0.0179401,0.0209465,0.0181806
24,0.050936,0.00876428,0.00771776,0.0129504,0.0724354,0.0234684,0.0218441,0.0161762,0.024681,0.0188403,0.020079,0.0203179,0.0145553,0,0.0242707,0.0761898,0.0194774,0.0193569,0.0210612,0.0192001,0.017167,0.0150221,0.0228243,0.0121953,0.0205676,0.01721,0.0224239,0.0193815,0.019962,0.00847236,0.0324795,0.0264887,0.0214454,0.0120429,0.0282054,0.0213859,0.0315711,0.0261134,0.0257311,0,0.0288243,0.0732975,0.020664,0.0207346,0.0234957,0.0609652,0.022584,0.0225168,0.0234494,0.0210378,0.0174163,0.0200597,0.0177725
25,0.0509025,0.0085629,0.00770553,0.0128808,0.0723268,0.0235276,0.0220877,0.0163121,0.0244555,0.0186888,0.0200279,0.0202571,0.0145808,0,0.0241287,0.0762349,0.0194648,0.0193203,0.0210376,0.0191615,0.0169861,0.0147834,0.0226442,0.0120059,0.0202507,0.0172048,0.0223617,0.0193479,0.0191974,0.00857384,0.0322273,0.025717,0.0213692,0.0117357,0.0275984,0.0210661,0.0310902,0.0254104,0.0255852,0,0.0281839,0.0733418,0.0200869,0.0202648,0.0227741,0.0607843,0.0220961,0.0220923,0.0229912,0.0205784,0.0168611,0.0191399,0.0172458
26,0.050834,0.00835391,0.00766556,0.0127666,0.0721628,0.0235662,0.022401,0.0164823,0.0242166,0.0184978,0.0199728,0.0201752,0.0146643,0,0.0239811,0.0762469,0.0194295,0.0192573,0.0209902,0.0191147,0.0166576,0.0144928,0.0224664,0.0118084,0.0198997,0.017175,0.0222847,0.0193795,0.0183897,0.00877605,0.0318471,0.0249177,0.0212686,0.0113384,0.0269521,0.0207031,0.0305928,0.0246647,0.0254624,0,0.0275471,0.0733635,0.0194852,0.0197597,0.0220032,0.0604811,0.0215804,0.0216473,0.0225048,0.0200978,0.016276,0.0181874,0.0165995
27,0.0507744,0.00815524,0.00763141,0.0126701,0.0720077,0.023593,0.0227031,0.01665,0.0239723,0.0183209,0.0199241,0.0200823,0.0147513,0,0.0238121,0.0762695,0.0193946,0.0191949,0.0209418,0.0190688,0.0163629,0.0142147,0.0222926,0.0116172,0.0195577,0.0171471,0.0221908,0.0194076,0.017613,0.00895747,0.0314947,0.0241444,0.0211747,0.0109681,0.0263338,0.0203707,0.0301295,0.0239432,0.025338,0,0.0269494,0.073391,0.0189191,0.0192891,0.0212571,0.0602016,0.0210748,0.0212111,0.0220299,0.0196253,0.0157277,0.0172598,0.015989
28,0.0507697,0.00798805,0.00764181,0.0126451,0.0719337,0.0236186,0.0228865,0.0167543,0.0237322,0.0182235,0.019894,0.0199911,0.0147528,0,0.0236032,0.0763509,0.0193871,0.0191642,0.0209207,0.0190345,0.0163124,0.0140254,0.0221222,0.0114445,0.0192749,0.0171534,0.0220796,0.0193369,0.0169537,0.00897316,0.0313535,0.0234577,0.021112,0.0107529,0.0258179,0.0201554,0.0297533,0.0233246,0.0251737,0,0.0264236,0.0734529,0.018454,0.0189297,0.0206231,0.0601162,0.0206232,0.0208167,0.0216128,0.0191926,0.0152913,0.0164249,0.0155978
29,0.0507708,0.00783439,0.00766095,0.0126272,0.0718671,0.0236335,0.023051,0.0168456,0.0234869,0.0181418,0.0198703,0.0198917,0.0147414,0,0.023374,0.0764411,0.0193803,0.0191342,0.0209001,0.0190009,0.0162952,0.0138496,0.0219543,0.0112763,0.0190009,0.0171623,0.0219539,0.0192521,0.0163253,0.00896653,0.031241,0.0227956,0.0210496,0.0105605,0.0253262,0.0199701,0.0294059,0.0227297,0.0250027,0,0.0259308,0.0735179,0.0180214,0.0186011,0.0200138,0.0600547,0.0201821,0.0204305,0.0212071,0.018767,0.01489,0.015615,0.0152439
30,0.0507376,0.00767946,0.00765165,0.0125683,0.0717462,0.0236281,0.0232872,0.0169734,0.0232288,0.0180183,0.0198426,0.0197746,0.0147921,0,0.0231417,0.0764989,0.0193503,0.019078,0.0208564,0.0189587,0.0161321,0.013621,0.0217887,0.0111014,0.0186918,0.0171455,0.0218142,0.0192339,0.0156552,0.00906045,0.031001,0.0221075,0.0209659,0.0102798,0.0247959,0.0197406,0.0290432,0.0220913,0.0248564,0,0.0254453,0.0735608,0.0175671,0.0182385,0.0193546,0.0598714,0.0197135,0.0200244,0.0207735,0.0183206,0.0144616,0.0147729,0.0147711
31,0.0506725,0.00752446,0.00761254,0.0124756,0.0715728,0.0236022,0.0235992,0.0171434,0.0229586,0.0178511,0.0198115,0.0196401,0.0149141,0,0.0229069,0.0765258,0.0192965,0.0189964,0.0207894,0.0189081,0.0158232,0.0133385,0.0216264,0.0109217,0.0183477,0.0171026,0.0216597,0.019288,0.0149449,0.00925463,0.0306333,0.0213959,0.0208659,0.00991387,0.0242293,0.0194679,0.0286688,0.0214103,0.024738,0,0.0249726,0.073583,0.0170946,0.017844,0.0186452,0.059566,0.0192176,0.0195991,0.0203124,0.0178542,0.0140085,0.0138994,0.0141785
32,0.0506158,0.00738813,0.00758115,0.0123961,0.0714079,0.0235653,0.0238962,0.0173049,0.0226849,0.0176967,0.0197867,0.0194983,0.0150306,0,0.0226541,0.0765624,0.0192423,0.018916,0.0207232,0.0188589,0.0155485,0.0130682,0.0214679,0.0107485,0.018012,0.0170611,0.0214909,0.019332,0.0142676,0.00942664,0.0302944,0.0207111,0.0207708,0.00957378,0.0236896,0.0192252,0.0283261,0.0207529,0.0246156,0,0.0245384,0.0736095,0.0166579,0.0174822,0.0179604,0.0592841,0.0187319,0.0191826,0.0198631,0.0173952,0.0135941,0.0130523,0.0136229
33,0.0506093,0.00729255,0.00760024,0.0123672,0.0713203,0.0235285,0.0240616,0.0173852,0.0224163,0.0176243,0.0197793,0.0193634,0.0150319,0,0.0223657,0.076653,0.0192157,0.0188686,0.0206862,0.0188234,0.0155167,0.0128879,0.0213097,0.0105909,0.0177349,0.0170534,0.0213096,0.0192576,0.0137064,0.00943221,0.0301673,0.0201087,0.0206947,0.00938116,0.023246,0.0190966,0.0280576,0.0201973,0.0244443,0,0.0241634,0.0736662,0.0163145,0.0172228,0.0173869,0.0591966,0.0182997,0.0188044,0.0194696,0.0169742,0.0132854,0.0122976,0.0132884
34,0.0506081,0.00722007,0.00763029,0.0123421,0.0712397,0.0234817,0.0242063,0.0174492,0.0221446,0.0175662,0.0197785,0.0192241,0.0150146,0,0.022062,0.0767513,0.0191897,0.0188232,0.0206508,0.018791,0.0155184,0.0127209,0.0211537,0.0104383,0.017466,0.0170472,0.0211157,0.0191651,0.0131774,0.00941495,0.030069,0.0195311,0.0206177,0.0092112,0.0228254,0.0189956,0.0278141,0.0196651,0.0242647,0,0.0238195,0.073725,0.0160024,0.016991,0.0168371,0.0591335,0.0178782,0.0184332,0.0190867,0.01656,0.0130108,0.011569,0.0129926
35,0.0505763,0.0071554,0.00762993,0.0122861,0.0711071,0.0234152,0.024428,0.0175573,0.0218627,0.0174624,0.0197753,0.019069,0.0150715,0,0.0217593,0.0768195,0.0191395,0.0187517,0.0205928,0.018752,0.0153758,0.0124995,0.021002,0.0102825,0.0171613,0.017014,0.0209082,0.0191456,0.0126116,0.00949733,0.0298433,0.018932,0.0205273,0.0089579,0.0223694,0.0188508,0.0275597,0.0190899,0.024114,0,0.0234906,0.0737631,0.0156745,0.0167281,0.0162369,0.0589485,0.0174296,0.0180436,0.0186766,0.0161268,0.0127145,0.0108112,0.0125778
36,0.0505155,0.00710086,0.00759696,0.0122053,0.0709239,0.023328,0.02473,0.0177141,0.021571,0.0173111,0.0197698,0.0188977,0.0152104,0,0.021459,0.0768581,0.019065,0.0186538,0.0205119,0.0187065,0.01509,0.0122223,0.0208561,0.0101267,0.0168199,0.0169532,0.0206867,0.019203,0.0120117,0.00967982,0.02949,0.0183134,0.0204276,0.00862276,0.0218809,0.0186624,0.0272984,0.0184712,0.0239962,0,0.0231824,0.0737821,0.015334,0.0164369,0.0155869,0.0586415,0.0169536,0.0176373,0.01824,0.0156747,0.0123995,0.0100264,0.0120439
37,0.0504623,0.00707542,0.00757337,0.0121333,0.0707489,0.0232304,0.0250141,0.0178586,0.0212772,0.0171717,0.0197713,0.0187229,0.0153372,0,0.0211461,0.0769054,0.0189899,0.0185577,0.0204321,0.0186652,0.014839,0.0119574,0.0207138,0.00997917,0.0164864,0.0168926,0.0204528,0.0192449,0.0114485,0.00983996,0.0291658,0.0177231,0.0203313,0.00831243,0.0214179,0.0185015,0.027065,0.0178756,0.0238733,0,0.0229101,0.0738046,0.0150281,0.0161754,0.0149611,0.0583585,0.0164874,0.017239,0.0178143,0.0152304,0.012122,0.0092711,0.0115487
38,0.0504549,0.00709989,0.00760635,0.0120947,0.0706474,0.0231349,0.0251574,0.0179082,0.0209906,0.0171153,0.01979,0.0185598,0.0153244,0,0.0208036,0.0770027,0.0189433,0.0184965,0.0203823,0.0186406,0.0148289,0.0117847,0.0205697,0.00984446,0.0162121,0.0168656,0.0202112,0.0191537,0.0109992,0.00983311,0.0290545,0.0172111,0.0202425,0.00814427,0.0210425,0.0184495,0.0268906,0.0173806,0.0236936,0,0.0226803,0.0738533,0.0148032,0.0160034,0.0144452,0.0582703,0.0160755,0.0168755,0.0174427,0.0148224,0.0119388,0.00860917,0.0112749
39,0.0504533,0.00715553,0.00765172,0.0120578,0.0705523,0.0230311,0.0252782,0.0179392,0.0207028,0.0170719,0.0198151,0.018395,0.0152878,0,0.0204509,0.0771062,0.0188972,0.0184373,0.020335,0.0186223,0.0148528,0.0116249,0.020428,0.00971637,0.0159459,0.0168395,0.0199599,0.0190405,0.0105841,0.00980393,0.0289729,0.0167239,0.0201512,0.0079987,0.0206878,0.018423,0.0267362,0.0169084,0.0235049,0,0.0224772,0.0739026,0.0146061,0.0158536,0.0139523,0.0582063,0.0156747,0.0165191,0.0170824,0.0144219,0.0117861,0.00797703,0.0110398
40,0.0504239,0.00722774,0.00766421,0.0119984,0.0704073,0.0229083,0.0254802,0.0180194,0.0204064,0.0169791,0.0198391,0.0182164,0.0153354,0,0.0201052,0.0771806,0.0188265,0.0183512,0.0202653,0.0186002,0.0147346,0.0114083,0.0202937,0.00959166,0.0156426,0.0167844,0.0196963,0.0190049,0.010141,0.00987444,0.0287636,0.0162206,0.0200532,0.00777258,0.0203013,0.0183525,0.0265756,0.0163931,0.0233499,0,0.0222953,0.0739332,0.0143984,0.0156757,0.0134096,0.0580202,0.0152467,0.016147,0.0166958,0.0140033,0.0116155,0.00732535,0.0106871
41,0.050368,0.00731848,0.00764096,0.0119204,0.0702135,0.0227661,0.0257652,0.0181526,0.0201018,0.0168351,0.0198616,0.0180242,0.0154732,0,0.0197672,0.0772273,0.0187307,0.0182379,0.020172,0.0185749,0.0144753,0.0111343,0.0201679,0.0094734,0.0153021,0.0166995,0.0194197,0.0190511,0.00967593,0.0100444,0.0284261,0.0157047,0.0199523,0.0074675,0.0198861,0.0182379,0.026412,0.0158347,0.023231,0,0.0221405,0.0739466,0.014184,0.015473,0.0128175,0.057712,0.0147911,0.0157595,0.0162826,0.0135673,0.0114317,0.00666102,0.0102177
42,0.0503191,0.00744284,0.00762791,0.0118482,0.0700271,0.0226152,0.0260301,0.0182707,0.0197964,0.0167011,0.019891,0.0178323,0.015593,0,0.0194226,0.077281,0.0186345,0.0181258,0.0200804,0.0185567,0.0142507,0.0108722,0.0200469,0.00936612,0.0149691,0.016614,0.0191344,0.0190784,0.00925343,0.0101922,0.028118,0.0152183,0.0198536,0.00718676,0.0194947,0.0181472,0.0262709,0.0152988,0.023106,0,0.022016,0.0739623,0.0139998,0.0152944,0.012249,0.0574278,0.0143462,0.0153801,0.01588,0.0131391,0.0112805,0.00603978,0.00978787
