Timestep,C7,LANK,LASI,LBiceps,LClavicle,LD1M,LElbow,LForearm,LHEE,LKNE,LLCA,LMAnkle,LMElbow,LMKnee,LMT5,LPSI,LSH1,LSH2,LSH3,LSTL,LShoulder,LTH1,LTH2,LTH3,LTHI,LTIB,LTOE,LWrist,RANK,RASI,RBiceps,RD1M,RElbow,RForearm,RHEE,RKNE,RLCA,RMAnkle,RMElbow,RMKnee,RMT5,RPSI,RSH1,RSH2,RSTL,RShoulder,RTH1,RTH2,RTH3,RTHI,RTIB,RTOE,RWrist
478,0.0293017,0.0219342,0.0404133,0.0109179,0.0315176,0.0121509,0.0176981,0.0144051,0.0198147,0.0258526,0.0374812,0.0200605,0.00783959,0,0.0325198,0.0716568,0.0226578,0.0262574,0.0250081,0.0128164,0.0180778,0.0155173,0.0171822,0.0181248,0.0143483,0.0245867,0.0181832,0.00809209,0.0296191,0.0231024,0.00847588,0.0243604,0.0198945,0.00967684,0.0130719,0.00902588,0.0302582,0.0251046,0.0115711,0,0.00728631,0.0601765,0.013993,0.012304,0.0223242,0.0289102,0.0110359,0.0206564,0.0168216,0.0127496,0.010431,0.0201586,0.0124013
479,0.0292775,0.0220019,0.0404869,0.0111056,0.0314386,0.0123645,0.0175861,0.0146554,0.0198183,0.0260382,0.0375398,0.0201827,0.00767577,0,0.0327064,0.0715669,0.0226904,0.0262738,0.0250374,0.0128778,0.0181393,0.0156074,0.0171344,0.0181419,0.0144138,0.0245974,0.0183811,0.0082223,0.0297733,0.023157,0.00855945,0.0245085,0.0199328,0.00983241,0.0131546,0.00880288,0.0303501,0.025283,0.0112428,0,0.00734698,0.0601753,0.0140138,0.0122866,0.0223894,0.0291593,0.0111977,0.0208844,0.0170452,0.0129955,0.0103447,0.0203041,0.0124553
480,0.0293498,0.0221136,0.0406469,0.011188,0.0314382,0.0126287,0.0174928,0.0147809,0.0198542,0.0262396,0.0376367,0.0203273,0.007571,0,0.0329307,0.0715013,0.0227648,0.0263271,0.0251052,0.0129725,0.0180873,0.015769,0.0171582,0.018222,0.0145616,0.0246485,0.0186216,0.008298,0.0299263,0.0232089,0.00860918,0.0246514,0.0200415,0.00995442,0.0132391,0.00852745,0.0304324,0.0254644,0.0110041,0,0.00740659,0.0601814,0.0140112,0.0122404,0.0224602,0.029324,0.0113923,0.0211502,0.0172959,0.0132906,0.0102341,0.0204403,0.0124783
481,0.0295213,0.0222691,0.0408928,0.0111694,0.0315191,0.0129435,0.0174186,0.0147821,0.0199227,0.0264563,0.0377719,0.020495,0.00752062,0,0.0331928,0.0714612,0.0228808,0.0264175,0.0252123,0.0131016,0.0179219,0.0160022,0.0172556,0.0183655,0.014792,0.0247395,0.0189044,0.00831842,0.030078,0.0232585,0.00861902,0.0247885,0.0202163,0.0100363,0.0133253,0.00819926,0.0305048,0.0256489,0.0108591,0,0.00746316,0.0601961,0.0139853,0.0121655,0.0225366,0.0294054,0.0116231,0.0214545,0.0175753,0.0136359,0.0100998,0.0205669,0.0124656
482,0.0296822,0.0224107,0.0411265,0.0111771,0.0315907,0.0132432,0.0173432,0.0148058,0.0199812,0.0266645,0.0378898,0.0206515,0.00746269,0,0.033437,0.0714191,0.0229824,0.0264945,0.0253058,0.0132229,0.0177811,0.0162278,0.0173479,0.0185039,0.0150128,0.0248173,0.0191712,0.00835113,0.0302251,0.0233113,0.00863505,0.0249276,0.0203743,0.0101273,0.0134079,0.00788449,0.0305736,0.0258295,0.0106984,0,0.00752399,0.0602096,0.0139621,0.0120925,0.0226092,0.0295019,0.0118553,0.0217506,0.0178477,0.0139745,0.00997265,0.0206975,0.0124638
483,0.0296973,0.0224699,0.0412318,0.0113498,0.0315412,0.0134505,0.017239,0.0150228,0.0199768,0.0268362,0.0379245,0.0207553,0.00732908,0,0.0335972,0.0713411,0.0230036,0.026499,0.0253228,0.0132848,0.0178249,0.0163523,0.0173399,0.018555,0.015116,0.0248195,0.0193528,0.00847109,0.0303639,0.0233702,0.00871603,0.0250772,0.0204239,0.0102936,0.0134803,0.00766194,0.0306468,0.0259959,0.0103841,0,0.00759919,0.0602073,0.0139714,0.0120572,0.0226673,0.0297248,0.0120409,0.0219808,0.0180679,0.0142353,0.00988984,0.0208481,0.012533
484,0.0296982,0.0225149,0.0413249,0.0115421,0.0314793,0.0136413,0.0171329,0.0152613,0.0199613,0.0269989,0.0379415,0.0208473,0.00719562,0,0.0337381,0.0712601,0.0230102,0.0264906,0.0253253,0.013337,0.0178935,0.0164685,0.0173242,0.0185997,0.0152086,0.0248087,0.019517,0.00860325,0.0304985,0.02343,0.00881078,0.0252275,0.0204619,0.0104778,0.0135499,0.00745542,0.0307169,0.0261575,0.0100492,0,0.0076789,0.0602031,0.0139831,0.0120241,0.0227216,0.0299608,0.0122232,0.0222009,0.0182787,0.0144869,0.00981492,0.0210017,0.0126193
485,0.0297991,0.0226038,0.0415039,0.0116359,0.0314993,0.0138807,0.0170476,0.0153752,0.0199794,0.0271764,0.0379969,0.020962,0.00711222,0,0.0339157,0.0712054,0.0230584,0.0265194,0.025367,0.0134227,0.0178484,0.0166547,0.017382,0.0187074,0.0153817,0.0248375,0.0197217,0.0086798,0.0306317,0.0234874,0.0088604,0.025371,0.0205631,0.0106164,0.0136215,0.00719921,0.0307774,0.0263226,0.00981152,0,0.00775327,0.060209,0.0139724,0.0119634,0.0227822,0.0301146,0.0124438,0.0224594,0.0185187,0.014789,0.00971686,0.0211448,0.012666
486,0.0300023,0.0227362,0.0417678,0.0116358,0.0316031,0.0141681,0.0169846,0.0153651,0.0200312,0.0273686,0.0380907,0.0211003,0.00707391,0,0.0341301,0.0711779,0.0231478,0.0265855,0.0254479,0.0135427,0.0176894,0.0169102,0.0175145,0.0188783,0.0156354,0.0249064,0.0199674,0.0087005,0.0307633,0.023543,0.00885883,0.0255069,0.0207234,0.0107024,0.013695,0.00689358,0.0308284,0.0264911,0.00967561,0,0.00782098,0.0602267,0.0139391,0.0118751,0.022849,0.0301871,0.0127057,0.0227574,0.01879,0.0151428,0.00959606,0.021277,0.0126672
487,0.0301935,0.0228549,0.042019,0.0116593,0.0316964,0.0144388,0.0169219,0.0153763,0.0200728,0.0275518,0.0381673,0.0212275,0.00703093,0,0.0343251,0.0711484,0.0232227,0.0266386,0.0255149,0.013653,0.0175549,0.017156,0.0176405,0.0190422,0.0158773,0.0249625,0.0201953,0.00873232,0.0308899,0.0236,0.00886413,0.025642,0.0208685,0.0107993,0.0137652,0.00660607,0.0308764,0.0266552,0.00952427,0,0.00789028,0.0602441,0.0139081,0.0117897,0.0229116,0.030274,0.0129666,0.0230461,0.0190533,0.0154882,0.0094833,0.0214109,0.0126795
488,0.0302321,0.0228919,0.0421437,0.0118323,0.0316614,0.0146163,0.016828,0.0155768,0.020051,0.0276977,0.03816,0.0213016,0.00692702,0,0.0344344,0.0710817,0.0232179,0.0266197,0.0255053,0.0136991,0.0176034,0.0172993,0.017662,0.0191165,0.0159995,0.0249436,0.0203363,0.00884996,0.0310073,0.0236591,0.00894854,0.0257849,0.0209159,0.0109896,0.0138255,0.00641483,0.030929,0.0268047,0.00921127,0,0.0079726,0.0602434,0.0139091,0.0117415,0.0229581,0.0304823,0.0131705,0.0232652,0.0192603,0.0157505,0.00941398,0.0215612,0.0127765
489,0.0302545,0.0229144,0.0422564,0.0120221,0.0316123,0.0147761,0.0167332,0.0157968,0.0200182,0.027834,0.0381347,0.0213631,0.00682436,0,0.0345236,0.0710125,0.0231988,0.0265881,0.0254816,0.0137325,0.0176757,0.0174323,0.0176748,0.0191826,0.0161097,0.0249118,0.0204583,0.00897854,0.0311196,0.0237176,0.00904728,0.0259266,0.0209532,0.011199,0.0138826,0.00624267,0.0309787,0.0269493,0.0088783,0,0.0080564,0.0602409,0.0139132,0.011696,0.0230008,0.0307032,0.0133689,0.0234731,0.0194574,0.0160014,0.0093527,0.0217127,0.0128917
490,0.0303801,0.0229807,0.042453,0.0121208,0.0316479,0.0149826,0.0166623,0.0158926,0.0200197,0.0279846,0.0381484,0.0214478,0.00676274,0,0.0346487,0.0709709,0.0232204,0.0265939,0.025497,0.0137987,0.0176347,0.0176328,0.0177617,0.0193113,0.0162985,0.0249198,0.0206197,0.00905047,0.03123,0.0237739,0.00909066,0.02606,0.0210466,0.0113509,0.0139421,0.00602373,0.0310193,0.0270976,0.00865008,0,0.00813152,0.0602525,0.0138952,0.0116235,0.0230503,0.0308439,0.0136094,0.0237205,0.0196862,0.0163038,0.00926975,0.0218522,0.0129567
491,0.0306111,0.0230907,0.0427332,0.0121331,0.0317703,0.0152352,0.0166173,0.0158646,0.0200563,0.0281492,0.0382013,0.0215557,0.00673799,0,0.0348094,0.0709574,0.0232827,0.0266374,0.0255517,0.0138979,0.0174808,0.017901,0.0179236,0.0195025,0.0165655,0.0249678,0.0208208,0.0090662,0.0313392,0.0238295,0.00907265,0.0261852,0.0211917,0.0114386,0.0140043,0.00575938,0.0310515,0.0272498,0.00853179,0,0.00819785,0.0602791,0.0138562,0.011525,0.0231065,0.0309055,0.0138944,0.0240086,0.0199478,0.0166586,0.00916584,0.0219802,0.012966
492,0.0308276,0.0231872,0.0430008,0.0121663,0.0318799,0.0154694,0.0165738,0.015856,0.0200824,0.0283041,0.0382371,0.0216515,0.00671029,0,0.0349497,0.0709425,0.023331,0.026668,0.0255927,0.0139834,0.0173505,0.0181578,0.0180772,0.0196855,0.016819,0.025003,0.0210026,0.00909267,0.0314433,0.0238849,0.00906264,0.0263083,0.0213227,0.0115388,0.014063,0.00551599,0.0310809,0.0273979,0.00839919,0,0.00826469,0.0603057,0.0138203,0.0114302,0.0231587,0.0309808,0.0141757,0.0242858,0.0202007,0.0170029,0.00907052,0.0221081,0.0129868
493,0.0308833,0.0232019,0.0431425,0.012334,0.0318543,0.0156097,0.0164958,0.0160327,0.020044,0.0284217,0.0381881,0.0216931,0.0066327,0,0.0350033,0.070889,0.0233008,0.0266272,0.0255573,0.0139975,0.0174006,0.0183107,0.0181224,0.0197764,0.0169521,0.0249643,0.0210957,0.00920243,0.0315374,0.0239378,0.00914681,0.0264362,0.0213677,0.0117483,0.0141125,0.00536864,0.0311145,0.0275314,0.00809604,0,0.00834325,0.0603121,0.0138155,0.0113725,0.0231941,0.0311744,0.0143912,0.02449,0.0203932,0.0172594,0.00901616,0.0222488,0.0131053
494,0.0309206,0.0232031,0.0432712,0.0125154,0.0318124,0.0157314,0.0164173,0.0162276,0.0199952,0.0285294,0.0381213,0.0217216,0.00655647,0,0.0350358,0.070833,0.0232564,0.0265739,0.0255082,0.0139957,0.0174737,0.0184514,0.0181576,0.0198582,0.0170715,0.0249128,0.0211693,0.00932134,0.0316267,0.0239892,0.00924602,0.0265616,0.021404,0.0119781,0.0141593,0.00524093,0.0311464,0.0276606,0.00777343,0,0.00842234,0.0603172,0.0138136,0.0113175,0.0232256,0.0313799,0.0145988,0.0246819,0.020575,0.0175035,0.00896967,0.0223889,0.0132409
495,0.0310637,0.023248,0.0434824,0.0126133,0.0318574,0.015898,0.0163672,0.0162992,0.0199818,0.0286508,0.0380942,0.0217721,0.00651328,0,0.0351034,0.0708059,0.0232524,0.0265584,0.0254981,0.0140255,0.0174344,0.0186576,0.0182669,0.0200015,0.0172671,0.0249012,0.0212816,0.009384,0.0317152,0.0240397,0.0092799,0.0266787,0.0214893,0.0121392,0.0142086,0.00507037,0.0311702,0.0277943,0.00756459,0,0.00849159,0.0603391,0.0137916,0.0112374,0.0232649,0.0315069,0.0148511,0.0249149,0.0207901,0.0178,0.00890313,0.0225169,0.0133152
496,0.0313148,0.0233371,0.0437756,0.0126332,0.0319916,0.0161093,0.016348,0.0162475,0.0200037,0.0287863,0.0381071,0.0218446,0.00650048,0,0.0352065,0.0708083,0.0232893,0.0265806,0.025527,0.0140872,0.0172833,0.0189288,0.0184508,0.0202054,0.0175382,0.0249292,0.0214322,0.00939083,0.0318025,0.0240902,0.00924251,0.0267873,0.0216193,0.0122253,0.0142609,0.00485941,0.0311854,0.0279326,0.00747382,0,0.00855065,0.0603794,0.0137501,0.0111331,0.0233116,0.0315571,0.0151501,0.0251892,0.0210401,0.018149,0.00881741,0.0226333,0.0133235
497,0.0315493,0.0234129,0.044055,0.0126718,0.0321115,0.0163012,0.0163308,0.016214,0.0200157,0.028912,0.0381032,0.0219038,0.00648632,0,0.035289,0.0708088,0.0233122,0.0265907,0.0255422,0.0141326,0.0171554,0.0191872,0.0186242,0.0203992,0.017794,0.0249449,0.0215627,0.00940672,0.0318849,0.0241394,0.00921448,0.0268933,0.021737,0.0123243,0.0143101,0.00467026,0.0311987,0.0280664,0.00736888,0,0.0086091,0.0604202,0.013712,0.0110325,0.023354,0.0316205,0.0154424,0.0254517,0.0212807,0.0184856,0.00874009,0.022749,0.0133426
498,0.0316148,0.0234081,0.0442087,0.0128292,0.0320893,0.0163986,0.0162742,0.0163618,0.0199631,0.0290002,0.0380148,0.0219086,0.00642899,0,0.0352847,0.0707685,0.0232567,0.0265298,0.0254815,0.014104,0.0172043,0.0193409,0.0186868,0.0204998,0.0179294,0.0248878,0.0216046,0.00950249,0.0319577,0.0241822,0.00929536,0.027003,0.0217793,0.0125473,0.0143502,0.00456961,0.0312169,0.0281856,0.00708553,0,0.00867883,0.0604376,0.013704,0.010968,0.023379,0.0317995,0.0156612,0.0256381,0.0214571,0.0187306,0.00870153,0.0228752,0.0134703
